Sitename:Pekan
Location: Latitude:    3.4383266 - Longitude:  103.3899384 - Elevation (masl):    35.
Principal investigator: 
Ecosystem type: 
File creation date: 2015-08-10T10:20
Datapolicy:  -- The AmeriFlux data provided on this site are freely available and were furnished by individual AmeriFlux scientists who encourage their use.
Please kindly inform in writing (or e-mail) the appropriate AmeriFlux scientist(s) of how you intend to use the data and of any publication plans.
It is also important to contact the AmeriFlux investigator to assure you are downloading the latest revision of the data and to prevent potential misuse or misinterpretation of the data.
Please acknowledge the data source as a citation or in the acknowledgments if no citation is available.
If the AmeriFlux Principal Investigators (PIs) feel that they should be acknowledged or offered participation as authors they will let you know.
And we assume that an agreement on such matters will be reached before publishing and/or use of the data for publication.
If your work directly competes with the PIs analysis they may ask that they have the opportunity to submit a manuscript before you submit one that uses unpublished data.
In addition when publishing please acknowledge the agency that supported the research. --
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
File Origin (4 lines) - To be compiled by AmeriFlux data management group.
YEAR,GAP,DTIME,DOY,HRMIN,UST,TA,WD,WS,NEE,FC,SFC,H,SH,LE,SLE,FG,TS1,TSdepth1,TS2,TSdepth2,PREC,RH,PRESS,CO2,VPD,SWC1,SWC2,Rn,PAR,Rg,Rgdif,PARout,RgOut,Rgl,RglOut,H2O,RE,GPP,CO2top,CO2height,APAR,PARdif,APARpct,ZL
YEAR,GAP,DTIME,DOY,HRMIN,m/s,deg C,deg,m/s,umol/m2/s,umol/m2/s,umol/m2/s,W/m2,W/m2,W/m2,W/m2,W/m2,deg C,cm,deg C,cm,mm,%,kPa,umol/mol,kPa,%,%,W/m2,umol/m2/s,W/m2,W/m2,umol/m2/s,W/m2,W/m2,W/m2,mmol/mol,umol/m2/s,umol/m2/s,umol/mol,m,umol/m2/s,umol/m2/s,%,unitless
 2015,0,182.00000000000000,182,000,0.13385932460249095,28.093138058625073,149.04894557907684,1.6868090207231532,-6999.0000000000000,1.6844426391016585,-9999.0000000000000,-2.4554634300191944,-9999.0000000000000,3.0884253867555809,-9999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.003916666666667,100.84997311452514,387.32769186635312,3.3366422873696302,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.5120823050086667,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.32273438029576174
 2015,0,182.02082999999999,182,030,0.12178080150973326,28.106190113620414,122.72745102128779,1.9983745788299563,8.6437568914585015,9.8338606726685853,-1.1901037812100832,-14.715623911071376,0.26951902703244146,5.5472192134661533,0.12697520634283727,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004110000000001,100.83680606543179,385.64620463279539,3.3391704819827757,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.5161734199117323,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,2.5688567127270594
 2015,0,182.04166000000001,182,100,0.30206224468536130,27.602163255574283,161.22090035864190,2.7056447577862826,15.908768434491583,12.979498052036869,2.9292703824547139,0.92553847438460812,-10.426075170766460,65.522292282344551,-4.0823856098037847,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004140000000000,100.84727621508380,389.77759195798268,3.2424649398367085,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.3849379122782652,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-1.0587325852217944E-002
 2015,0,182.06249000000000,182,130,0.13941745056663371,27.214043159697951,171.52977025878118,1.8812539236739563,-0.87292855139285475,3.7178396336175611E-002,-0.91010694772903034,0.67249820046948172,-8.0362881523446390,-5.1197049007916100E-002,-3.0291485417109585,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.003996666666668,100.81782241620112,388.49527630806261,3.1696748490963316,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.2876945618647770,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-7.8256996302392370E-002
 2015,0,182.08331999999999,182,200,8.6402664843310842E-002,26.885319184883940,180.22609339370700,1.5632003069662559,6.9022776147454934,1.0997450282677492,5.8025325864777439,-0.96626612246496446,-6.8098293596830963,2.2707415974054737,-2.4756919504676138,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004156666666667,100.75972131284918,396.66664698373876,3.1091315781264655,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.2082851712012603,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.47259297706698083
 2015,0,182.10415000000000,182,230,6.3679614059013206E-002,26.790979705469567,176.69541326821113,1.8281793307384557,-0.96292019582094857,-0.15113212673804627,-0.81178806908290235,0.49029929863201244,-1.9545082828238316,-7.1492758878692095,-0.68996432752505621,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004796666666667,100.73776519553073,395.52356320416885,3.0919227062206232,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1861582943925981,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-0.59910402695777842
 2015,0,182.12497999999999,182,300,5.6395711463555279E-002,26.597072498788179,192.01898605746825,1.5623539974028715,1.2248707892423063,-0.20956919651192138,1.4344399857542276,-0.13258386735369621,-4.0198791520289179,-2.3060442459753316,-1.4836276279907787,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004606666666668,100.73774562604807,397.54210162016011,3.0568640311494497,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1386186719671558,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.23323863577982223
 2015,0,182.14581000000001,182,330,5.7488817617570721E-002,26.444953279122274,198.35049399272006,1.4554887813123725,0.87297618253079590,5.9208147471591449E-002,0.81376803505920448,-0.34436401839045999,-3.1540850410271450,-3.9888523804027392,-1.1079421423116420,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.004743333333334,100.70393142458101,398.68703605046682,3.0295937660387504,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.1031284260276175,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,0.57203707088594857
 2015,0,182.16664000000000,182,400,9.5715661488316950E-002,26.308701787341249,235.25794147923230,1.6484341523918595,10.699045131991094,6.6671762123802889,4.0318689196108046,-4.9053414993738169,-2.8259405905868764,4.6774194156608182,-1.0043090082360360,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,-6999.0000000000000,12.005043333333333,100.68975272346368,404.35791001470113,3.0053422562646581,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,4.0709721790997593,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,-6999.,1.7657303308457724
