file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_t_mean,air_p_mean,vin_sf_mean,co2_mean,h2o_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--
2015-06-30T233000_AIU-1380.ghg,2015-07-01,00:00,182.000,0,36000,36000,2.0862071984040387E-002,1,-2.4554634300191944,0,3.0884253867555809,0,1.6844426391016585,0,7.0428040271641235E-002,0,-3.6944787732205550E-003,0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,7.0010108940757854E-012,8.1556619977566813E-014,3.2128895351386227E-014,15.595982346377651,387.32769186635312,400.08974490361135,-0.10000000000000001,0,181.68170634853379,4.5120823050086667,4.5325334690713230,-0.14999999999999999,0,7.1572761746856728E-002,1.7821435422600111,1.8408633572485487,1.1499999999999999,0,304.46294866773815,301.25313805862510,100849.97311452514,1.1642873551168469,1008.2073616743176,2.4835094273898975E-002,4.5637370096023519E-003,3.2739044044951802E-003,455.16543972007577,3791.8077270897061,2.8119384704359466E-003,12.003916666666667,3336.6422873696301,269.17323301367111,-1.2345773865816663,-1.1492918461881840,1.6480328262466235E-002,1.6868090207231532,-6.1268043379390055E-015,4.4889835975621324E-016,1.6868090207231532,3.2961069139764070,149.04894557907684,222.95105442092319,0.55979560566615683,-9999.0,0.13385932460249095,0.15448409921990347,85.674169497098077,0.32273438029576174,-0.79505350543652964,-1.5626970633784317E-002,1,288.24788660910212,126.00000000000000,278.00000000000000,599.00000000000000,1184.0000000000000,2773.0000000000000,-9999.0,2.0648032134161529E-002,1.0103661137530262,-2.2462589464166571,1.0068340288373219,3.0430142751772657,1.0285226589045511,1.7164938929998759,1.0285226589045511,6.9392491344756738E-002,1.0285226589045511,-3.0323400484598083E-003,1.0545271797011626,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,26,51,6,12,9,46,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.19119189775812337,9.9714518777768837E-002,1.8061781903914720E-002,1.5203700734146723E-002,6.7403536029689726E-003,5.4547622264732025,2.7232158679447723E-007,-1.9135938864752551E-003,1.7164938929998758E-003,6.9392491344756738E-002,-3.0323400484598082E-006,301.39959603118893,100786.43680555555,11.776734239657726,387.73397355355212,31.931492357360003,97.278094508912829,1.7786541847371418,30.262882429635503
2015-07-01T000000_AIU-1380.ghg,2015-07-01,00:30,182.020,0,36000,36000,1.7264008558215013E-002,2,-14.715623911071376,1,5.5472192134661533,1,9.8338606726685853,1,0.12649965446935724,1,-1.3190426705808067E-003,2,0.26951902703244146,0.12697520634283727,-1.1901037812100832,2.8955624629998689E-003,-5.7244272497182225E-003,2.4414007084998660E-010,2.8590425251505595E-012,1.1203112710144181E-012,15.525576209455039,385.64620463279539,398.30533130360760,-5.0000000000000003E-002,0,181.81481825477329,4.5161734199117323,4.5366617712180366,-0.10000000000000001,0,7.1243847664537285E-002,1.7740721280012151,1.8323073796949507,-5.0000000000000003E-002,0,304.49875993686254,301.26619011362044,100836.80606543178,1.1640831059973138,1008.2099760182140,2.4839413328694219E-002,8.1971776096143485E-003,3.2763030810867137E-003,455.51865859273954,3794.6891405755150,2.8144924225833355E-003,12.004110000000001,3339.1704819827755,269.18356323621805,-0.70706138206180980,-1.8684757957675564,4.8614400564829130E-002,1.9983745788299563,3.9787420559857491E-014,1.5725024794977069E-014,1.9983745788299563,4.5018858986316790,122.72745102128779,249.27254897871222,1.3939702859586449,-9999.0,0.12178080150973326,0.33666539270469170,10.763543121347231,2.5688567127270594,-2.6527929300771924,-0.10295913258661581,1,545.78965269202729,238.00000000000000,512.00000000000000,1072.0000000000000,2051.0000000000000,4576.0000000000000,-9999.0,1.7147510219150328E-002,1.0067938923829642,-14.232383720003973,1.0109711988271719,5.3462488399407873,1.0949709045253777,9.5264895600160120,1.0949709045253777,0.12191669464187797,1.0949709045253777,1.9741675918482611E-003,1.1858464258705628,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,12,13,3,1,6,10,1,0,0,0,0,0,7,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.49890641572451799,0.12977899791488340,4.4645371769982005E-002,4.7963096021461586E-002,2.7327646971431200E-002,16.700669408888032,2.7639301869101868E-007,-1.2126700938998692E-002,9.5264895600160118E-003,0.12191669464187797,1.9741675918482611E-006,301.42631235165061,100776.07294444444,11.776666736602785,386.05604388894051,31.816364045646470,97.305117238680509,1.7708009695228608,35.305121568155350
2015-07-01T003000_AIU-1380.ghg,2015-07-01,01:00,182.041,0,36000,36000,0.10640713550617827,1,0.92553847438460812,2,65.522292282344551,1,12.979498052036869,0,1.4934475042874620,1,-1.3461587638165044E-002,1,-10.426075170766460,-4.0823856098037847,2.9292703824547139,-9.3049684132362767E-002,1.7150774210075544E-002,-1.1250019171071986E-010,-1.2656098399419690E-012,-5.1799122273137588E-013,15.719829128202973,389.77759195798268,401.60809079827641,-0.14999999999999999,0,176.84565798801484,4.3849379122782652,4.4042502762899307,-0.14999999999999999,0,7.2379730091342187E-002,1.7982116707675946,1.8527908500856092,0.10000000000000001,0,303.47235131708800,300.76216325557431,100847.27621508380,1.1662129543717674,1008.1235335113240,2.4795281728519684E-002,9.6775398277827537E-002,3.1867588115454880E-003,442.32766272062594,3684.7926025573338,2.7325702390796863E-003,12.004140000000000,3242.4649398367083,268.79286386393687,-2.3245044635518792,-1.3845337615267512,1.6087804597547592E-002,2.7056447577862826,-3.1613929225218114E-013,-7.1565785348698911E-015,2.7056447577862826,6.0987631102224489,161.22090035864190,210.77909964135807,0.34068357791959203,-9999.0,0.30206224468536130,0.78708079688984500,-2611.6132048781319,-1.0587325852217944E-002,1.4125550894897507E-002,2.6061920598338612E-003,0,251.70269701697154,-38.196855347545394,86.401390798303751,215.15167967336220,328.11988675716088,460.19280660487863,689.45268240287828,0.10321497395285160,1.0309273105546182,4.9750689462688529,1.0203139351265404,63.368998325824499,1.0291249808093323,12.006443594084271,1.0291249808093323,1.4443675442716450,1.0291249808093323,-1.6864235703881680E-002,1.0395812330288381,800000009,800000009,800000009,800000009,800000019,800100019,899999999,899999999,89999,89999,89,89,37,17,8,10,2,2,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.91283749922449275,0.56934454931333189,9.1979545241865510E-002,0.20106336672827230,2.4973295758470890E-002,1334.6562582205170,6.9498199654907951E-007,4.2316280715501272E-003,1.2006443594084270E-002,1.4443675442716450,-1.6864235703881682E-005,300.74902568986664,100772.35047222223,11.770426713095770,390.02354269748258,29.477277833938224,97.743414909574696,1.7947168642050677,36.225955903053297
2015-07-01T010000_AIU-1380.ghg,2015-07-01,01:30,182.062,0,36000,36000,2.2691440665973499E-002,1,0.67249820046948172,1,-5.1197049007916100E-002,0,3.7178396336175611E-002,2,-1.1664919852813291E-003,0,2.7781097923352564E-003,2,-8.0362881523446390,-3.0291485417109585,-0.91010694772903034,-6.9017210261202985E-002,-5.7606932572916263E-003,-1.4169424860237701E-011,-1.5638328088657874E-013,-6.5210789848165509E-014,15.683776140809050,388.49527630806261,399.90091563678465,0.0000000000000000,1,173.09667779622342,4.2876945618647770,4.3061580523282759,0.0000000000000000,1,7.2180165393587750E-002,1.7901116502015795,1.8426666465824169,-1.2000000000000000,0,303.08525367440120,300.37404315969798,100817.82241620112,1.1674217927711341,1008.0591502640360,2.4770519090565268E-002,-7.5588680646230128E-005,3.1192021873319019E-003,432.39198238173242,3602.0668314780637,2.6718725028490216E-003,12.003996666666668,3169.6748490963314,268.49169256869959,-1.7623560198151629,-0.65787441176898909,2.0465656581283912E-002,1.8812539236739563,-1.8242728538177934E-014,-9.0344472740649364E-016,1.8812539236739563,3.2225229779878335,171.52977025878118,200.47022974121879,0.62331770441686785,-9999.0,0.13941745056663371,0.16078651616532080,-353.32304211060961,-7.8256996302392370E-002,-13.135487562290942,4.0988325593910016E-003,1,345.71240781625210,151.00000000000000,283.00000000000000,498.00000000000000,798.00000000000000,1385.0000000000000,3691.0000000000000,2.1774975589246640E-002,1.0420879955970856,0.65133534723845199,1.0275159892791583,-6.3172440633367827E-002,1.0357488706008779,7.5249354779065667E-003,1.0357488706008779,-1.4393436168184254E-003,1.0357488706008779,2.4781380060986376E-003,1.0467541216297658,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,124,59,2,20,19,20,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.16986318404639325,0.12282137924473614,2.8888469039512234E-002,7.0984508364110820E-003,1.6102365590097212E-003,7.1068743763913114,4.9234266737858404E-007,5.5346585763719721E-004,7.5249354779065671E-006,-1.4393436168184254E-003,2.4781380060986375E-006,300.42405139923096,100750.92463888889,11.772784529871412,388.79155938975003,28.542928523619977,97.835327884674072,1.7868825240184827,36.892078290833361
2015-07-01T013000_AIU-1380.ghg,2015-07-01,02:00,182.083,0,36000,36000,8.7200770328648286E-003,2,-0.96626612246496446,1,2.2707415974054737,1,1.0997450282677492,1,5.1720849701630017E-002,1,2.0824904950261119E-003,1,-6.8098293596830963,-2.4756919504676138,5.8025325864777439,-5.6389019086968556E-002,9.7093998018223521E-003,3.5941184063952169E-011,3.8130443555529246E-013,1.6339104892426411E-013,16.021964553383079,396.66664698373876,408.38493849918433,-0.20000000000000001,0,169.97898955260109,4.2082851712012603,4.2260696775577902,-0.45000000000000001,0,7.2836932404524019E-002,1.8037568081106932,1.8570432345373580,-0.20000000000000001,0,302.74478049299461,300.04531918488397,100759.72131284917,1.1680624074932604,1008.0062958572482,2.4757678477074246E-002,3.3515110606656250E-003,3.0630214442192352E-003,424.13938144476748,3533.2709595712331,2.6223097538021814E-003,12.004156666666667,3109.1315781264652,268.23683040961998,-1.5300817297100151,-0.31892356128568677,2.7071427069223792E-002,1.5632003069662559,2.4369846974165781E-014,2.2432445125066198E-015,1.5632003069662559,3.4614066298884820,180.22609339370700,191.77390660629300,0.99229513393032331,-9999.0,8.6402664843310842E-002,0.19402893418029632,58.507005693572026,0.47259297706698083,-0.42552887724830091,-9.4981784428809085E-003,1,527.27536602712132,232.00000000000000,517.00000000000000,1139.0000000000000,2302.0000000000000,5574.0000000000000,-9999.0,8.6358839725763983E-003,1.0097492116100435,-0.81953681656392363,1.0068781091169678,2.2107910672048798,1.0320267528122602,1.0881962908687131,1.0320267528122602,5.0355352030921577E-002,1.0320267528122602,2.0844131045739509E-003,1.0624206081102761,800000009,800000009,800000009,800000009,800000019,800100019,899999999,899999999,89999,89999,89,89,17,28,5,15,10,18,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.31327566782989591,6.4506212560548545E-002,1.0275987970148172E-002,3.8158459881182431E-002,3.5514159895493558E-002,23.360817528272740,9.1181473525169857E-007,-6.9604797895988829E-004,1.0881962908687131E-003,5.0355352030921577E-002,2.0844131045739508E-006,300.09116333346890,100692.72591666666,11.777975870768229,396.96208105426354,28.715661636590948,97.665978230370385,1.8004779487782059,35.758621274741309
2015-07-01T020000_AIU-1380.ghg,2015-07-01,02:30,182.104,0,36000,36000,4.7370989591401054E-003,2,0.49029929863201244,2,-7.1492758878692095,2,-0.15113212673804627,1,-0.16282464469229407,2,-1.0550064575793998E-003,1,-1.9545082828238316,-0.68996432752505621,-0.81178806908290235,-1.5713926590837996E-002,-5.5391209033058258E-003,4.8816986774010487E-011,5.1667120015752282E-013,2.2167711936521427E-013,15.977336010827068,395.52356320416885,406.73630984312382,0.0000000000000000,1,169.10157544645705,4.1861582943925981,4.2037558819454057,0.0000000000000000,1,7.2552815240449473E-002,1.7959731258246063,1.8468873911267931,-1.0500000000000000,0,302.55178566869097,299.95097970546959,100737.76519553072,1.1681849641779318,1007.9914990513640,2.4755288549739560E-002,-1.0551036976060656E-002,3.0472104417556154E-003,421.81734902779345,3513.7400552484169,2.6084999680679676E-003,12.004796666666667,3091.9227062206232,268.16432615612433,-1.7633341096841850,-0.48254535404395987,6.5164602430467893E-003,1.8281793307384557,-1.5188509705465076E-013,3.0553896307200133E-015,1.8281793307384557,3.3208244018167661,176.69541326821113,195.30458673178890,0.20422857519527463,-9999.0,6.3679614059013206E-002,0.27929814089782601,-46.152251955983971,-0.59910402695777842,-6.8580273907731748E-002,6.5387143889967022E-003,1,609.98233920290761,272.00000000000000,477.00000000000000,783.00000000000000,1168.0000000000000,1849.0000000000000,4083.0000000000000,4.5413473250209635E-003,1.0431043080630786,3.7788704529050636E-002,1.0281772962964770,-6.8793546048835150,1.0363834554351770,-0.10507536868444198,1.0363834554351770,-0.15667719176330483,1.0363834554351770,-7.3538226172539974E-004,1.0474321937762292,800000009,800000009,800000009,800000009,800000019,810100019,899999999,899999999,89999,89999,89,89,29,32,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.38114543139384627,0.16628221848918795,1.1168631912617730E-002,0.10577559923858060,0.25290699058535865,673.93481824550270,1.1345800180250891E-007,3.2091759001297327E-005,-1.0507536868444198E-004,-0.15667719176330483,-7.3538226172539976E-007,299.97593737453889,100669.76222222223,11.770430086135867,395.78607232411673,27.586146305137277,97.905730549282524,1.7928003872663416,32.709597878119446
2015-07-01T023000_AIU-1380.ghg,2015-07-01,03:00,182.124,0,36000,36000,3.7178541867756722E-003,2,-0.13258386735369621,1,-2.3060442459753316,2,-0.20956919651192138,2,-5.2510217307813460E-002,2,1.6087353249297168E-003,1,-4.0198791520289179,-1.4836276279907787,1.4344399857542276,-3.3783223928004806E-002,6.8567473641070768E-003,-4.1358029282789399E-011,-4.3055845287314971E-013,-1.8789875540194484E-013,16.069260757949635,397.54210162016011,408.54537207772159,0.0000000000000000,1,167.28930683448115,4.1386186719671558,4.1558180180138047,0.0000000000000000,1,7.3006237217026454E-002,1.8056021359293546,1.8555780468062462,-1.2000000000000000,0,302.30611517376371,299.75707249878820,100737.74562604807,1.1689614603051042,1007.9599950503828,2.4739289977822519E-002,-3.4026620815463121E-003,3.0145533608082684E-003,417.02694808603496,3473.8909792354843,2.5788304090208899E-003,12.004606666666668,3056.8640311494496,268.01362151522034,-1.5622657509892866,5.1768679415282114E-004,1.6597243352300978E-002,1.5623539974028715,5.7935599695526336E-014,-2.5737356500565304E-015,1.5623539974028715,3.4344646579114113,192.01898605746825,179.98101394252927,0.60867760086529321,-9999.0,5.6395711463555279E-002,0.12967445396969488,118.54811235520029,0.23323863577982223,5.7494069155477293E-002,-1.9952674337207605E-003,1,801.63614934812131,352.00000000000000,780.00000000000000,1703.0000000000000,3411.0000000000000,8141.0000000000000,-9999.0,3.6844990816320877E-003,1.0090528195026200,-0.27342111612176062,1.0067914666563818,-2.2170324631132119,1.0345995472197151,-0.17654957178678171,1.0345995472197151,-5.0483357645773906E-002,1.0345995472197151,1.6683237825076201E-003,1.0680494965301521,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,18,12,2,9,0,0,0,0,0,0,0,0,20,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.22011863592812114,3.3278473571709641E-002,5.9517984395589746E-003,1.0135235539607407E-002,1.7880367959010712E-002,94.781146449615918,3.8800173234354409E-007,-2.3205373501781256E-004,-1.7654957178678171E-004,-5.0483357645773906E-002,1.6683237825076201E-006,299.81440664333769,100671.69844444444,11.781416773875556,397.85080263688826,26.953701211320016,97.982631272210000,1.8024553387454811,35.340437091340277
2015-07-01T030000_AIU-1380.ghg,2015-07-01,03:30,182.145,0,36000,36000,3.8640917576896676E-003,1,-0.34436401839045999,1,-3.9888523804027392,2,5.9208147471591449E-002,1,-9.0815484130089080E-002,2,-2.3128710084007820E-003,1,-3.1540850410271450,-1.1079421423116420,0.81376803505920448,-2.5224874837810062E-002,-5.7826771291426722E-003,2.1078669050226902E-011,2.1693327934512179E-013,9.5108332481104161E-014,16.118310967852562,398.68703605046682,409.95511036788582,-0.45000000000000001,0,165.88324658586833,4.1031284260276175,4.1200334524023541,0.0000000000000000,1,7.2726872598621095E-002,1.7974828508301552,1.8482850302741758,0.34999999999999998,0,302.22847299575807,299.60495327912230,100703.93142458101,1.1691781154246292,1007.9362711529808,2.4735038109491431E-002,-5.8848433716297719E-003,2.9892161546941414E-003,413.31200047898699,3442.9057665177370,2.5566815827787704E-003,12.004743333333334,3029.5937660387503,267.89568809678002,-1.4465401992466074,0.16099000486006732,7.1598061939410927E-003,1.4554887813123725,1.6118079138154511E-014,1.3077467665357499E-015,1.4554887813123725,2.4819592751175819,198.35049399272006,173.64950600727994,0.28184918825488475,-9999.0,5.7488817617570721E-002,5.3583970635108773E-002,48.336028217850924,0.57203707088594857,8.6331602563765694E-002,-5.0830061943216969E-003,1,895.19348101046035,395.00000000000000,890.00000000000000,1990.0000000000000,4095.0000000000000,-9999.0,-9999.0,3.8352255528855020E-003,1.0075265989981861,-0.58341432840279672,1.0073866089723917,-3.7781352010755977,1.0495591097375105,0.10589461541050962,1.0495591097375105,-8.6018018385520964E-002,1.0495591097375105,-1.8050806614958036E-003,1.1000161511924249,800000009,800000009,800000009,800000009,800000019,800000019,899999999,899999999,89999,89999,89,89,17,5,1,20,1,9,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,5.3988196007923143E-002,4.3899986361554330E-002,9.2797589007400736E-003,7.5324483158386735E-003,1.5182735541009799E-002,75.391430614805387,1.6655226525771195E-007,-4.9506627188204493E-004,1.0589461541050962E-004,-8.6018018385520964E-002,-1.8050806614958037E-006,299.65988326348202,100635.72536111111,11.771190658013026,399.00144094509506,27.507914740112138,97.770965382681979,1.7943594045672144,33.236129468322318
2015-07-01T033000_AIU-1380.ghg,2015-07-01,04:00,182.166,0,36000,36000,1.0714906230660093E-002,1,-4.9053414993738169,1,4.6774194156608182,1,6.6671762123802889,1,0.10647820469353232,1,2.9812548646034769E-003,1,-2.8259405905868764,-1.0043090082360360,4.0318689196108046,-2.2862397115056911E-002,1.3103569461898411E-002,3.6136337730920011E-011,3.6381142031271220E-013,1.6245630934635823E-013,16.352710842609536,404.35791001470113,415.97425353883102,0.0000000000000000,0,164.63491685053492,4.0709721790997593,4.0876127368303292,-5.0000000000000003E-002,0,7.3516056637510444E-002,1.8158754058588138,1.8680416476684714,-0.50000000000000000,0,302.10138452784224,299.46870178734127,100689.75272346368,1.1695596175255534,1007.9148379537637,2.4727270842524997E-002,6.8997876641408943E-003,2.9667212524780088E-003,410.01513478353883,3415.3573910481969,2.5366139596669085E-003,12.005043333333333,3005.3422562646579,267.79023574492493,-1.1990022436715699,1.1282219774606750,8.2728133164192155E-002,1.6484341523918595,-1.0169849968424805E-013,2.2098071737904857E-015,1.6484341523918595,2.8629037567156299,235.25794147923230,136.74205852076770,2.8766480177760574,-9999.0,9.5715661488316950E-002,0.13813882640704545,15.659242816968458,1.7657303308457724,-1.0487281689877703,-4.3475044886043410E-002,1,610.60366144986961,267.00000000000000,583.00000000000000,1246.0000000000000,2438.0000000000000,5620.0000000000000,-9999.0,1.0644412095238162E-002,1.0066226424523217,-4.5855805936707297,1.0087011965570687,4.4484807912015611,1.0697737525802014,6.4044762757969256,1.0697737525802014,0.10126657589757485,1.0697737525802014,3.5707722307000830E-003,1.1399906000352034,800000009,800000009,800000009,800000009,800000019,800010019,899999999,899999999,89999,89999,89,89,61,33,7,27,1,12,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,30,36000,36000,36000,36000,100,0.12082498113026878,0.13736197097954345,1.8090700704278654E-002,2.6365129561538372E-002,8.4655617037340383E-002,71.179922972043741,2.6026232108063751E-007,-3.8899867989036479E-003,6.4044762757969253E-003,0.10126657589757485,3.5707722307000829E-006,299.48464231024843,100621.09230555556,11.779250803497099,404.62539761437171,27.944214540613952,97.521783851941450,1.8126584360036584,30.517218651590813
