filename,date,time,DOY,latitude,longitude,altitude,canopy_height,displacement_height,roughness_length,file_length,acquisition_frequency,master_sonic_manufacturer,master_sonic_model,master_sonic_height,master_sonic_wformat,master_sonic_wref,master_sonic_north_offset,master_sonic_hpath_length,master_sonic_vpath_length,master_sonic_tau,co2_irga_manufacturer,co2_irga_model,co2_measure_type,co2_irga_northward_separation,co2_irga_eastward_separation,co2_irga_vertical_separation,co2_irga_tube_length,co2_irga_tube_diameter,co2_irga_tube_flowrate,co2_irga_kw,co2_irga_ko,co2_irga_hpath_length,co2_irga_vpath_length,co2_irga_tau,h2o_irga_manufacturer,h2o_irga_model,h2o_measure_type,h2o_irga_northward_separation,h2o_irga_eastward_separation,h2o_irga_vertical_separation,h2o_irga_tube_length,h2o_irga_tube_diameter,h2o_irga_tube_flowrate,h2o_irga_kw,h2o_irga_ko,h2o_irga_hpath_length,h2o_irga_vpath_length,h2o_irga_tau,ch4_irga_manufacturer,ch4_irga_model,ch4_measure_type,ch4_irga_northward_separation,ch4_irga_eastward_separation,ch4_irga_vertical_separation,ch4_irga_tube_length,ch4_irga_tube_diameter,ch4_irga_tube_flowrate,ch4_irga_kw,ch4_irga_ko,ch4_irga_hpath_length,ch4_irga_vpath_length,ch4_irga_tau
2015-06-30T233000_AIU-1380.ghg,2015-07-01,00:00,182.000,3.4383265970000001,103.38993840000001,35.299999999999997,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T000000_AIU-1380.ghg,2015-07-01,00:30,182.020,3.4383416179999999,103.38996890000000,38.299999999999997,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T003000_AIU-1380.ghg,2015-07-01,01:00,182.041,3.4383082389999999,103.38996890000000,46.600000000000001,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T010000_AIU-1380.ghg,2015-07-01,01:30,182.062,3.4383015630000000,103.38996890000000,21.000000000000000,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T013000_AIU-1380.ghg,2015-07-01,02:00,182.083,3.4383032320000000,103.38995360000000,19.600000000000001,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T020000_AIU-1380.ghg,2015-07-01,02:30,182.104,3.4383149149999999,103.38989260000000,16.800000000000001,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T023000_AIU-1380.ghg,2015-07-01,03:00,182.124,3.4383416179999999,103.38996120000000,21.199999999999999,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T030000_AIU-1380.ghg,2015-07-01,03:30,182.145,3.4383165839999998,103.38992310000000,27.300000000000001,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T033000_AIU-1380.ghg,2015-07-01,04:00,182.166,3.4383482930000002,103.38995360000000,22.100000000000001,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
2015-07-01T040000_AIU-1380.ghg,2015-07-01,04:30,182.187,3.4383199210000002,103.38990780000000,29.100000000000001,6.0000000000000000,4.0200000000000005,0.89999999999999991,30.000000000000000,20.000000000000000,csi,csat3_1,31.670000000000002,uvw,spar,-168.00000000000000,5.8000000000000007,11.500000000000000,1.6666666666666666E-002,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7500a_1,molar_density,-21.000000000000000,10.000000000000000,-2.5000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,0.94999999999999996,12.699999999999999,0.10000000000000001,licor,li7700_2,molar_density,-44.000000000000000,-19.500000000000000,4.0000000000000000,-999900.00000000000,-9999000.0000000000,-599940000.00000000,-9999.0000000000000,-9999.0000000000000,6.3499999999999996,50.000000000000000,0.10000000000000001
