third_statistics:_on_raw_data_after_after_despiking_and_cross-wind_correction
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2015-06-30T233000_AIU-1380.ghg,2015-07-01,00:00,182.000,36000,-1.2345773865816663,-1.1492918461881840,1.6480328262466235E-002,304.46294866773815,15.595981330699402,1284.3910486399336,7.1572654049989387E-002,-9999.0,-9999.0,-9999.0,301.25313805862510,100849.97311452514,149.04894557907684,8.4793884757883103E-002,0.20644248521656877,1.7731828465685044E-002,1.5203696305910341E-002,6.7399977248264881E-003,5.4545037178253324,2.7241574252459870E-007,-9999.0,-9999.0,-9999.0,6.7704903159935270E-003,102.74481488112360,5.0379013532449370E-002,1.2349753001511178E-002,-4.9283710669197622E-003,6.7776954957547448E-003,0.29830792428929576,1.0651907881139906E-005,-9999.0,1.0271025965963637E-002,-3.5516081389176279E-002,2.8970223982421186E-002,0.37265232236639256,4.6044224948139870E-005,-9999.0,-1.6419948580091415E-003,1.4665397306636361E-003,6.4145649834537410E-002,-3.1709213066329725E-006,-9999.0,-9999.0,-9999.0,3.0946670664060236E-004,6.5118691704646126E-002,0.29119389546809377,0.45435942294241988,0.13316091192870769,0.12330326964809303,8.2097489150561045E-002,2.3354878971695254,5.2193461518144078E-004,-9999.0,-9999.0,-9999.0,8.2282989226167072E-002,10.136311700077282,-0.59858137601388006,0.13436648746372468,0.17544189968206095,-0.11987213198580322,0.34814231581202937,-0.77412690725827549,-0.52090684155115752,-9999.0,-9999.0,-9999.0,0.53221870304110730,0.18980494731892239,3.4522211245760865,2.4322444090596576,4.2868949635860139,2.3774598048103823,3.3572579272645862,3.4985011234577486,3.1131203617630199,-9999.0,-9999.0,-9999.0,2.3460921137852759,1.9635562506651942
2015-07-01T000000_AIU-1380.ghg,2015-07-01,00:30,182.020,36000,-0.70706138206180980,-1.8684757957675564,4.8614400564829130E-002,304.49875993686254,15.525571121215844,1279.5170112508144,7.1243831053910328E-002,-9999.0,-9999.0,-9999.0,301.26619011362044,100836.80606543178,122.72745102128779,0.19161745910389805,0.43750889336194904,4.4204432943788473E-002,4.7963100383881851E-002,2.7327819894451613E-002,16.707839415300896,2.7639517246476896E-007,-9999.0,-9999.0,-9999.0,1.9491667217145903E-002,103.39095083344728,0.13993193532957093,-1.1679601311786513E-003,-3.7011428870326657E-002,3.2386347521590600E-002,1.0134210803443031,8.5420864916954557E-006,-9999.0,4.2137829144469887E-003,-0.10907477291436313,8.5422845917605517E-002,2.2611688222596591,6.0503375034492272E-005,-9999.0,-9.3290855045400946E-003,7.2867072008224332E-003,6.0892845019111179E-002,3.5003820822632926E-007,-9999.0,-9999.0,-9999.0,2.9782970428544756E-003,-0.17180761835291802,0.43774131528095228,0.66144455048170825,0.21024850283364321,0.21900479534448977,0.16531128181237847,4.0875224054799864,5.2573298590136890E-004,-9999.0,-9999.0,-9999.0,0.13961256110087625,10.168134088093414,-0.20705295530877421,-0.44360309733804959,0.20523578548533014,2.2969007761733728E-002,-5.0706328054981521E-002,-0.98461330681020598,-8.0503182379482466E-002,-9999.0,-9999.0,-9999.0,0.40381612902608582,-0.70950269866014704,2.8403608646354650,2.2810454417033506,4.1085932200513495,2.1291246274906728,2.1917402591952992,3.9268449588099510,4.4258425881532197,-9999.0,-9999.0,-9999.0,1.9197985941368687,2.0143423028255363
2015-07-01T003000_AIU-1380.ghg,2015-07-01,01:00,182.041,36000,-2.3245044635518792,-1.3845337615267512,1.6087804597547592E-002,303.47235131708800,15.719836723009752,1188.0388637457841,7.2379666237816151E-002,-9999.0,-9999.0,-9999.0,300.76216325557431,100847.27621508380,161.22090035864190,0.49486954429110641,0.98833018403264561,9.0961865456571436E-002,0.20106336218366039,2.4971907415170774E-002,1334.6192065400760,6.9502397488518337E-007,-9999.0,-9999.0,-9999.0,7.6144089741283949E-002,139.82865634560585,0.32953951471870024,7.7298859504601511E-002,-9.5219804565432109E-002,1.8437363299649852E-002,-1.7565785924761779,-2.7246475441781149E-005,-9999.0,3.2674626767342542E-002,-0.33316163668926979,1.6534339139873157E-002,-22.863010771201893,2.8643917165723941E-004,-9999.0,5.7318876692006452E-003,1.1200545530141628E-002,1.4766536539162940,-1.5919880861214086E-005,-9999.0,-9999.0,-9999.0,7.6745803462217165E-003,5.9028190052299867E-002,0.70346964702900039,0.99414796888222112,0.30159884856638863,0.44840089449471482,0.15802502148448130,36.532440467892037,8.3368097908323620E-004,-9999.0,-9999.0,-9999.0,0.27594218550501470,11.824916758506415,-0.39531099133865227,-0.67429255049077408,1.1382350414061160,0.89181617165111582,0.43591603831636511,1.2682465915594276,-0.63651041358855054,-9999.0,-9999.0,-9999.0,0.58296191091417560,0.59899544328916465,2.9325243224552739,2.4917761973155397,6.9975403123278515,2.8670271039576201,4.6008721058709705,3.7416033580256545,3.4289733963581850,-9999.0,-9999.0,-9999.0,2.1980245761404849,1.9969631631013947
2015-07-01T010000_AIU-1380.ghg,2015-07-01,01:30,182.062,36000,-1.7623560198151629,-0.65787441176898909,2.0465656581283912E-002,303.08525367440120,15.683776140809050,1151.4156494174536,7.2179713520382827E-002,-9999.0,-9999.0,-9999.0,300.37404315969798,100817.82241620112,171.52977025878118,0.19958007389455046,9.3470565324335633E-002,2.8522393111958290E-002,7.0984426281910373E-003,1.6102365658623857E-003,7.1068744665540180,4.9253056521289809E-007,-9999.0,-9999.0,-9999.0,2.4207736766186372E-003,235.29893187060952,-2.4986692806216751E-002,1.2670687374351831E-002,8.5108978514228384E-003,-1.6131423716688863E-003,3.5892280382141317E-002,1.0343558986483887E-004,-9999.0,1.1966333192024713E-002,-1.4149782486170132E-003,-2.6166612983164863E-003,-0.11299375841466347,-3.3194931947384269E-005,-9999.0,4.7213587670275840E-004,3.3922873378116280E-005,-1.3753446701174118E-003,4.8405439213155459E-007,-9999.0,-9999.0,-9999.0,3.6516978812197202E-004,5.5011052498362245E-002,0.44674385714249104,0.30572956239843019,0.16888573981233079,8.4252255923453090E-002,4.0127753062716903E-002,2.6658721774597556,7.0180521885555836E-004,-9999.0,-9999.0,-9999.0,4.9201358483467073E-002,15.339456700633486,-0.20252191182661297,-1.8540790314955327E-002,0.79618387584147021,0.15154186257433735,0.90779461022050545,0.12113422858435037,4.6389041385711441E-002,-9999.0,-9999.0,-9999.0,0.11264966385325513,4.1373872832037618E-002,2.4748100955743992,2.8450046934299613,4.5712143414108830,3.0269326607919775,5.4288397528921672,4.1396923391487928,2.7869404339769894,-9999.0,-9999.0,-9999.0,2.1508854345012067,1.8106076344574782
2015-07-01T013000_AIU-1380.ghg,2015-07-01,02:00,182.083,36000,-1.5300817297100151,-0.31892356128568677,2.7071427069223792E-002,302.74478049299461,16.021970054546912,1159.0002589314786,7.2836977258407681E-002,-9999.0,-9999.0,-9999.0,300.04531918488397,100759.72131284917,180.22609339370700,0.29712193216086535,8.0820993270000016E-002,1.0114942929675200E-002,3.8158452672966803E-002,3.5510487032261367E-002,23.391324467264667,9.1175878467967310E-007,-9999.0,-9999.0,-9999.0,3.4540421963342283E-002,106.43755693547428,6.3378958332205720E-002,2.3031088041698443E-003,-8.6849735223546637E-002,8.2142027289524008E-002,1.1045174308608612,3.3162953457329319E-004,-9999.0,-1.1328021986744101E-003,-1.9874814580202620E-002,2.2958721078163883E-002,0.75640560776406418,6.0836883371339339E-005,-9999.0,8.4672599043714592E-004,-4.2016117268072947E-004,2.6640795603292855E-002,-4.3463834551656680E-006,-9999.0,-9999.0,-9999.0,1.0852552257832170E-003,5.5809349058737467E-002,0.54508892133381814,0.28429033270584497,0.10057307258742372,0.19534188663204521,0.18844226445323078,4.8364578430153475,9.5486061007859840E-004,-9999.0,-9999.0,-9999.0,0.18585053662376733,10.316857900323832,-0.88650178066009533,-0.49486405734615579,0.83073420143059706,0.39955952938290795,-0.17234123265064963,-0.88628056279749601,-7.6833969003742938E-002,-9999.0,-9999.0,-9999.0,0.18445278467375367,1.4261723208351116,2.7854543989161944,2.8421254074204954,7.0781005223844655,2.0503448822915478,1.7088903732200305,3.1314265984374963,2.4121370952870302,-9999.0,-9999.0,-9999.0,1.6745575019196677,3.8803131550810157
2015-07-01T020000_AIU-1380.ghg,2015-07-01,02:30,182.104,36000,-1.7633341096841850,-0.48254535404395987,6.5164602430467893E-003,302.55178566869097,15.977336010827068,1113.6047430962467,7.2552815077607899E-002,-9999.0,-9999.0,-9999.0,299.95097970546959,100737.76519553072,176.69541326821113,0.38390913693881124,0.16352812822427051,1.1159016632530010E-002,0.10577560560708577,0.25290699059270905,673.93481834047429,1.1342960175462606E-007,-9999.0,-9999.0,-9999.0,4.3440879992054704E-002,24.023204850032926,2.4745310465189616E-002,-2.4644783630010372E-004,-0.10236630054129825,0.19123832078801545,11.724363159783675,7.5623295129882356E-005,-9999.0,3.5122860079998619E-003,-8.6393862683896525E-002,0.11540471112142948,0.23010657091615233,3.6266247640827354E-005,-9999.0,4.6531730771686764E-004,-8.7114400205479071E-004,-0.19720382314848975,-9.6193656618878917E-007,-9999.0,-9999.0,-9999.0,1.9777461125202495E-003,-4.9992147113600727E-002,0.61960401623844497,0.40438611279848685,0.10563624677415423,0.32523161840000392,0.50289858877581772,25.960254589284641,3.3679311417341367E-004,-9999.0,-9999.0,-9999.0,0.20842475858701312,4.9013472484647451,-2.7140809910752978E-002,0.27500871747593431,0.78911810463770671,-0.12762413996632010,1.7242017587125995,-1.7600198525019612E-002,-5.4764323814013187E-002,-9999.0,-9999.0,-9999.0,-8.4871629052854045E-002,0.19722594439305469,1.6065778106433781,1.9510153594367956,5.3651897078322168,3.4003352815932733,5.4690333424452513,1.5341270721853379,3.1502248827129335,-9999.0,-9999.0,-9999.0,2.5652630258933504,2.2594025240884559
2015-07-01T023000_AIU-1380.ghg,2015-07-01,03:00,182.124,36000,-1.5622657509892866,5.1768679415282114E-004,1.6597243352300978E-002,302.30611517376371,16.069260757949635,1088.6650018276623,7.3006140654974308E-002,-9999.0,-9999.0,-9999.0,299.75707249878820,100737.74562604807,192.01898605746825,0.22002181004452584,3.3288544730340180E-002,6.0385531644157392E-003,1.0135240165368486E-002,1.7880367968722055E-002,94.781146550679523,3.8787344593057988E-007,-9999.0,-9999.0,-9999.0,4.9097073004915615E-003,74.720208648592234,-1.5227219765221940E-002,-5.2197755212734153E-003,-2.6690919924367340E-002,3.7225006448350154E-002,3.1174669830642960,-6.7996494512593734E-007,-9999.0,1.2839349305135712E-003,1.2825420845809629E-003,-3.0719749215491550E-003,-0.40162297734598051,-2.0156812400967893E-006,-9999.0,5.1497408637332914E-005,-5.7204238893528625E-004,-8.3607051193771278E-002,1.1146644110681034E-006,-9999.0,-9999.0,-9999.0,1.0037964582398995E-003,-4.6423155623679713E-002,0.46906482499173380,0.18245148596363961,7.7708128046014208E-002,0.10067392991916271,0.13371749312906692,9.7355609263503418,6.2279486665400504E-004,-9999.0,-9999.0,-9999.0,7.0069303553635817E-002,8.6440851828630336,-0.92873024534670967,0.63762352900573782,0.31892337559902484,-0.69040369203090846,0.41750331303896887,-0.43907407350134969,-0.18330161600191044,-9999.0,-9999.0,-9999.0,-9.5463711398208501E-002,-0.37883249679911907,3.1305736178670158,4.2374585478466296,4.3729109727943563,3.6215092519694663,3.0473584043686559,2.2228962088667461,3.5119189659387202,-9999.0,-9999.0,-9999.0,2.2589339488795677,2.2824575588749387
2015-07-01T030000_AIU-1380.ghg,2015-07-01,03:30,182.145,36000,-1.4465401992466074,0.16099000486006732,7.1598061939410927E-003,302.22847299575807,16.118269751230894,1111.2219572736963,7.2726894744031975E-002,-9999.0,-9999.0,-9999.0,299.60495327912230,100703.93142458101,198.35049399272006,5.4120133650175123E-002,4.3771222941443609E-002,9.2765846787568520E-003,7.5324431681309534E-003,1.5185821065595628E-002,75.391430702889693,1.6656356991324774E-007,-9999.0,-9999.0,-9999.0,5.0208283532526821E-004,31.833802998065948,9.7715076528556098E-006,-1.4893613751416272E-004,-8.7135850530235537E-003,1.2110639828246866E-002,-0.70543948401777890,-1.0475468775630595E-005,-9999.0,-3.2608411199037553E-003,2.0433262886220584E-003,4.4142451021210709E-004,0.68451226742292293,3.5232821602577245E-006,-9999.0,-4.5135929073637001E-004,-3.6265724346787960E-006,-8.2197674270236068E-002,-1.3939945866652027E-006,-9999.0,-9999.0,-9999.0,-1.0599636001854418E-004,6.3301981073393132E-002,0.23263734362774846,0.20921573301605118,9.6315028312080414E-002,8.6789648968819744E-002,0.12323076347079745,8.6828238898926013,4.0812200371120367E-004,-9999.0,-9999.0,-9999.0,2.2407204986906962E-002,5.6421452478703475,-0.17137437039410555,-0.10819586487780398,-0.38837746665417738,0.14219440756150900,0.19718926580866478,0.10514752756489343,-2.4667360907925432E-002,-9999.0,-9999.0,-9999.0,-2.4269505681884868E-002,0.28864882005757536,2.9225636956719097,2.8315981128363683,3.9445390704054848,3.0265843264729906,3.1138870259791820,1.9209903059912381,3.1399383371391716,-9999.0,-9999.0,-9999.0,2.6643212311227753,3.4687852706077020
2015-07-01T033000_AIU-1380.ghg,2015-07-01,04:00,182.166,36000,-1.1990022436715699,1.1282219774606750,8.2728133164192155E-002,302.10138452784224,16.352710842609536,1129.3458664211712,7.3516131736463028E-002,-9999.0,-9999.0,-9999.0,299.46870178734127,100689.75272346368,235.25794147923230,4.9481178238038256E-002,0.20843931823917455,1.8357156337349665E-002,2.6365131473362169E-002,8.4655617048996296E-002,71.183927414216100,2.6030697622732773E-007,-9999.0,-9999.0,-9999.0,8.3576912518168456E-003,32.994643419981003,3.5782468052081976E-003,5.1630466108219279E-003,-8.0252798368701805E-003,1.2529075802818604E-002,0.41560319829663062,-1.5759800284327396E-007,-9999.0,1.3112707768832652E-002,-3.8483794287465012E-002,5.8267103095205837E-002,1.7920080155469287,2.6605784198274629E-005,-9999.0,-4.9263958260764087E-003,7.9604778455116040E-003,0.14750973043829924,3.8729005657409480E-006,-9999.0,-9999.0,-9999.0,-2.1875809971065342E-003,1.4639901983768411E-003,0.22244365182679018,0.45655155047286233,0.13548858378974099,0.16237343216598635,0.29095638341338431,8.4370567980911506,5.1020287751768684E-004,-9999.0,-9999.0,-9999.0,9.1420409383336523E-002,5.7440963971699679,8.2089993147467788E-002,-0.18652900760166322,0.19648560746174065,-0.18639674762203287,0.66718658875339532,0.61319099108856712,-5.8804474108015092E-002,-9999.0,-9999.0,-9999.0,-0.54336018792640839,-0.37598023385484597,3.3742087350252024,2.2768216606663714,4.6104723506900749,2.8001746546908883,2.8301881606094574,1.8426334194623448,3.3249780526278183,-9999.0,-9999.0,-9999.0,2.2856344941960582,2.2961709831636017
2015-07-01T040000_AIU-1380.ghg,2015-07-01,04:30,182.187,36000,-1.6438322953449160,0.91775014758479312,8.7104939284511337E-002,302.01623405880400,16.739454031838353,1143.7612868058950,7.2677460197506774E-002,-9999.0,-9999.0,-9999.0,299.57960859912947,100677.20658192091,221.17458525895259,7.9755117381318630E-002,0.10586152004183257,2.1713193477941480E-002,3.9402570618712218E-002,6.8243997122301059E-002,19.189511091272152,2.5554729836340781E-007,-9999.0,-9999.0,-9999.0,5.3021774785463549E-002,24.616603570058942,1.5555396205884227E-002,1.4970306743730547E-002,-2.7441915840780123E-002,3.4363392614188956E-002,3.7046378647075384E-002,-3.1668581627625805E-005,-9999.0,6.5806191003169087E-003,-3.4750226704610448E-002,4.3081360261668235E-002,-0.73611826872699593,-2.7285164724305933E-005,-9999.0,-5.6802408691125610E-003,6.8146985235030821E-003,-5.9797435046143307E-002,-4.6246982516459207E-006,-9999.0,-9999.0,-9999.0,-5.9598290828556579E-003,0.13657262089951239,0.28240948528921372,0.32536367351293621,0.14735397340398215,0.19850080760216623,0.26123552040697118,4.3805834190518675,5.0551686259056464E-004,-9999.0,-9999.0,-9999.0,0.23026457562001054,4.9615122261321636,0.32012361798011790,-0.79021492232427926,0.58141091749324314,6.6344047132985223E-002,-0.20677510532052276,1.0984399128631042,-0.25625980624047168,-9999.0,-9999.0,-9999.0,-0.15927685155969953,3.1006058819436497E-002,3.0061460681161281,3.7223145861184688,3.7551472783716533,2.3384300434259169,2.5116595726864834,4.6507987180035233,3.3473153547006240,-9999.0,-9999.0,-9999.0,1.5282260177600162,1.8918865342534192
