fifth_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_and_tilt_correction
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2015-06-30T233000_AIU-1380.ghg,2015-07-01,00:00,182.000,36000,1.6868090207231532,-6.1268043379390055E-015,4.4889835975621324E-016,304.46294866773815,15.595981330699402,1284.3910486399336,7.1572654049989387E-002,-9999.0,-9999.0,-9999.0,301.25313805862510,100849.97311452514,149.04894557907684,0.19119189775813311,9.9714518777768837E-002,1.8061781903914730E-002,1.5203696305910341E-002,6.7399977248264881E-003,5.4545037178253324,2.7241574252459870E-007,-9999.0,-9999.0,-9999.0,6.7704903159935270E-003,102.74481488112360,6.4274615752951722E-002,-1.7732439370298027E-002,2.7789593856594186E-002,-2.4684870800476072E-002,-0.47160842868316522,-3.9198933550972122E-005,-9999.0,2.6910050102832217E-004,2.2637439282241028E-002,-1.6586209964775941E-002,-6.9498597093057168E-002,-2.6443501563616846E-005,-9999.0,-1.9135938864632423E-003,1.7077954166096608E-003,6.8756602922820431E-002,-2.7880760536082089E-006,-9999.0,-9999.0,-9999.0,1.4200157503407192E-004,9.2936092962732059E-002,0.43725495738542874,0.31577605795526809,0.13439412897859315,0.12330326964809303,8.2097489150561045E-002,2.3354878971695254,5.2193461518144078E-004,-9999.0,-9999.0,-9999.0,8.2282989226167072E-002,10.136311700077282,0.28124329367987466,-0.45069300554282127,0.17069679579025851,-0.11987213198580322,0.34814231581202937,-0.77412690725827549,-0.52090684155115752,-9999.0,-9999.0,-9999.0,0.53221870304110730,0.18980494731892239,3.2614648751943656,2.9038263756376814,4.2904680235323571,2.3774598048103823,3.3572579272645862,3.4985011234577486,3.1131203617630199,-9999.0,-9999.0,-9999.0,2.3460921137852759,1.9635562506651942
2015-07-01T000000_AIU-1380.ghg,2015-07-01,00:30,182.020,36000,1.9983745788299563,3.9787420559857491E-014,1.5725024794977069E-014,304.49875993686254,15.525571121215844,1279.5170112508144,7.1243831053910328E-002,-9999.0,-9999.0,-9999.0,301.26619011362044,100836.80606543178,122.72745102128779,0.49890641572450778,0.12977899791488340,4.4645371769981866E-002,4.7963100383881851E-002,2.7327819894451613E-002,16.707839415300896,2.7639517246476896E-007,-9999.0,-9999.0,-9999.0,1.9491667217145903E-002,103.39095083344728,-2.3537883479437232E-002,-1.4592472614109456E-002,0.11485304091238535,-9.1151788392202129E-002,-2.4712733575520476,-5.9584352030850018E-005,-9999.0,-2.0117079777858069E-003,3.9882209395476903E-003,5.7018681980192949E-005,0.14754734714023462,-1.3424338791448702E-005,-9999.0,-1.2126700938997433E-002,9.5069676552443100E-003,0.12104726377100257,1.8000777394940357E-006,-9999.0,-9999.0,-9999.0,9.6688588891591148E-004,-3.1199535958288754E-002,0.70633307704262849,0.36024852243261651,0.21129451429221219,0.21900479534448977,0.16531128181237847,4.0875224054799864,5.2573298590136890E-004,-9999.0,-9999.0,-9999.0,0.13961256110087625,10.168134088093414,0.49175905929473357,2.5570573569501643E-002,0.17620599498104556,2.2969007761733728E-002,-5.0706328054981521E-002,-0.98461330681020598,-8.0503182379482466E-002,-9999.0,-9999.0,-9999.0,0.40381612902608582,-0.70950269866014704,2.1826776591576356,2.7366289549154050,4.1611404162639092,2.1291246274906728,2.1917402591952992,3.9268449588099510,4.4258425881532197,-9999.0,-9999.0,-9999.0,1.9197985941368687,2.0143423028255363
2015-07-01T003000_AIU-1380.ghg,2015-07-01,01:00,182.041,36000,2.7056447577862826,-3.1613929225218114E-013,-7.1565785348698911E-015,303.47235131708800,15.719836723009752,1188.0388637457841,7.2379666237816151E-002,-9999.0,-9999.0,-9999.0,300.76216325557431,100847.27621508380,161.22090035864190,0.91283749922459634,0.56934454931333178,9.1979545241865621E-002,0.20106336218366039,2.4971907415170774E-002,1334.6192065400760,6.9502397488518337E-007,-9999.0,-9999.0,-9999.0,7.6144089741283949E-002,139.82865634560585,0.37396038815541754,-8.8018595810814212E-002,0.25232603293937123,-2.4234479294991687E-002,13.217382324206451,-1.2326313902457056E-004,-9999.0,9.2604010224191062E-003,0.23750791209397243,-4.7704789419224514E-003,18.743785407667076,-2.6003607220648743E-004,-9999.0,4.2316280715328017E-003,1.1344844660892932E-002,1.3980876139520226,-1.5187224849999192E-005,-9999.0,-9999.0,-9999.0,6.7081185707848707E-003,3.2443531913649126E-002,0.95542529756365380,0.75454923584437605,0.30328129721739455,0.44840089449471482,0.15802502148448130,36.532440467892037,8.3368097908323620E-004,-9999.0,-9999.0,-9999.0,0.27594218550501470,11.824916758506415,0.60247403858127946,0.48128435994561486,1.1180427417160068,0.89181617165111582,0.43591603831636511,1.2682465915594276,-0.63651041358855054,-9999.0,-9999.0,-9999.0,0.58296191091417560,0.59899544328916465,2.7734310205376489,2.4995930715879053,6.9364168155075179,2.8670271039576201,4.6008721058709705,3.7416033580256545,3.4289733963581850,-9999.0,-9999.0,-9999.0,2.1980245761404849,1.9969631631013947
2015-07-01T010000_AIU-1380.ghg,2015-07-01,01:30,182.062,36000,1.8812539236739563,-1.8242728538177934E-014,-9.0344472740649364E-016,303.08525367440120,15.683776140809050,1151.4156494174536,7.2179713520382827E-002,-9999.0,-9999.0,-9999.0,300.37404315969798,100817.82241620112,171.52977025878118,0.16986318404638795,0.12282137924473588,2.8888469039512268E-002,7.0984426281910373E-003,1.6102365658623857E-003,7.1068744665540180,4.9253056521289809E-007,-9999.0,-9999.0,-9999.0,2.4207736766186372E-003,235.29893187060952,-5.3710721638050400E-002,-1.7593157830787291E-002,-7.4730430118351565E-003,2.4266048711111283E-003,5.8751126055915925E-003,-8.5284782464992531E-005,-9999.0,-6.1955685158176996E-003,4.3020647948904516E-003,1.8872804760025701E-003,0.11841092916974692,6.7272367321353783E-005,-9999.0,5.5346585762734322E-004,7.5249354779903276E-006,-1.4393436168440583E-003,1.4119282045530270E-006,-9999.0,-9999.0,-9999.0,4.3121895088884491E-004,8.2594432075353663E-002,0.41214461545237729,0.35045881247977756,0.16996608202671576,8.4252255923453090E-002,4.0127753062716903E-002,2.6658721774597556,7.0180521885555836E-004,-9999.0,-9999.0,-9999.0,4.9201358483467073E-002,15.339456700633486,0.15535993429959105,5.5924894263277784E-002,0.81372881959276921,0.15154186257433735,0.90779461022050545,0.12113422858435037,4.6389041385711441E-002,-9999.0,-9999.0,-9999.0,0.11264966385325513,4.1373872832037618E-002,2.7231811235418957,2.4880202668739195,4.5937255283700491,3.0269326607919775,5.4288397528921672,4.1396923391487928,2.7869404339769894,-9999.0,-9999.0,-9999.0,2.1508854345012067,1.8106076344574782
2015-07-01T013000_AIU-1380.ghg,2015-07-01,02:00,182.083,36000,1.5632003069662559,2.4369846974165781E-014,2.2432445125066198E-015,302.74478049299461,16.021970054546912,1159.0002589314786,7.2836977258407681E-002,-9999.0,-9999.0,-9999.0,300.04531918488397,100759.72131284917,180.22609339370700,0.31327566782992816,6.4506212560548448E-002,1.0275987970148190E-002,3.8158452672966803E-002,3.5510487032261367E-002,23.391324467264667,9.1175878467967310E-007,-9999.0,-9999.0,-9999.0,3.4540421963342283E-002,106.43755693547428,1.4918662536376663E-002,-7.2744139854430626E-003,8.9079218575355001E-002,-8.5093040255895952E-002,-1.2349769241770645,-3.3709069006536858E-004,-9999.0,1.3207558119142822E-003,1.7349475470346276E-003,-5.7145788703667046E-003,-0.51511410401690338,8.1121850632651659E-006,-9999.0,-6.9604797895817612E-004,1.0536339800277660E-003,4.8035269758259523E-002,1.4915604444990241E-006,-9999.0,-9999.0,-9999.0,-3.9281402166075946E-004,-2.7645888989619005E-002,0.55971034279342036,0.25398073265613763,0.10137054784378050,0.19534188663204521,0.18844226445323078,4.8364578430153475,9.5486061007859840E-004,-9999.0,-9999.0,-9999.0,0.18585053662376733,10.316857900323832,0.90559011270062895,0.73712836171956009,0.71075689746448079,0.39955952938290795,-0.17234123265064963,-0.88628056279749601,-7.6833969003742938E-002,-9999.0,-9999.0,-9999.0,0.18445278467375367,1.4261723208351116,2.7731976798867910,3.7005862332802719,7.0976790833904637,2.0503448822915478,1.7088903732200305,3.1314265984374963,2.4121370952870302,-9999.0,-9999.0,-9999.0,1.6745575019196677,3.8803131550810157
2015-07-01T020000_AIU-1380.ghg,2015-07-01,02:30,182.104,36000,1.8281793307384557,-1.5188509705465076E-013,3.0553896307200133E-015,302.55178566869097,15.977336010827068,1113.6047430962467,7.2552815077607899E-002,-9999.0,-9999.0,-9999.0,299.95097970546959,100737.76519553072,176.69541326821113,0.38114543139384893,0.16628221848918778,1.1168631912617747E-002,0.10577560560708577,0.25290699059270905,673.93481834047429,1.1342960175462606E-007,-9999.0,-9999.0,-9999.0,4.3440879992054704E-002,24.023204850032926,-3.4821489566054228E-002,-2.0081686967591780E-003,0.12154058137666540,-0.21491914468113305,-11.369941149709810,-8.2516802910634972E-005,-9999.0,-3.3286788573781445E-003,5.6310403718174279E-002,-6.0834626549602207E-002,2.8727026289730069,-1.5019323183231875E-005,-9999.0,3.2091759008218203E-005,-1.0507536868448288E-004,-0.15667719176334080,-6.6781350034593137E-007,-9999.0,-9999.0,-9999.0,1.6222676081617505E-003,-4.3482982602969733E-002,0.61736976877220751,0.40777716768988892,0.10568174824735702,0.32523161840000392,0.50289858877581772,25.960254589284641,3.3679311417341367E-004,-9999.0,-9999.0,-9999.0,0.20842475858701312,4.9013472484647451,3.1118308830654789E-002,0.22040145800364672,0.78175410564747994,-0.12762413996632010,1.7242017587125995,-1.7600198525019612E-002,-5.4764323814013187E-002,-9999.0,-9999.0,-9999.0,-8.4871629052854045E-002,0.19722594439305469,1.6725794976120878,1.9868099206324401,5.3882301037761637,3.4003352815932733,5.4690333424452513,1.5341270721853379,3.1502248827129335,-9999.0,-9999.0,-9999.0,2.5652630258933504,2.2594025240884559
2015-07-01T023000_AIU-1380.ghg,2015-07-01,03:00,182.124,36000,1.5623539974028715,5.7935599695526336E-014,-2.5737356500565304E-015,302.30611517376371,16.069260757949635,1088.6650018276623,7.3006140654974308E-002,-9999.0,-9999.0,-9999.0,299.75707249878820,100737.74562604807,192.01898605746825,0.22011863592813527,3.3278473571709662E-002,5.9517984395589807E-003,1.0135240165368486E-002,1.7880367968722055E-002,94.781146550679523,3.8787344593057988E-007,-9999.0,-9999.0,-9999.0,4.9097073004915615E-003,74.720208648592234,-1.5178104177736768E-002,2.9458507394136807E-003,2.6690384380984783E-002,-3.7229998706695897E-002,-3.1183121540218410,6.9109997772209586E-007,-9999.0,-1.1210279772745899E-003,-1.2736974650788618E-003,3.0596395319498308E-003,0.40058992272839389,2.0159064488738171E-006,-9999.0,-2.3205373501158531E-004,-1.7654957178650160E-004,-5.0483357645793002E-002,1.1073851857910427E-006,-9999.0,-9999.0,-9999.0,7.8942706654310619E-004,-5.2145649748616338E-002,0.46916802526188339,0.18242388432359855,7.7147899774128531E-002,0.10067392991916271,0.13371749312906692,9.7355609263503418,6.2279486665400504E-004,-9999.0,-9999.0,-9999.0,7.0069303553635817E-002,8.6440851828630336,0.92829120824485378,-0.63598446906809591,0.22011992045318118,-0.69040369203090846,0.41750331303896887,-0.43907407350134969,-0.18330161600191044,-9999.0,-9999.0,-9999.0,-9.5463711398208501E-002,-0.37883249679911907,3.1286736112912874,4.2370334580574029,4.4136402677638857,3.6215092519694663,3.0473584043686559,2.2228962088667461,3.5119189659387202,-9999.0,-9999.0,-9999.0,2.2589339488795677,2.2824575588749387
2015-07-01T030000_AIU-1380.ghg,2015-07-01,03:30,182.145,36000,1.4554887813123725,1.6118079138154511E-014,1.3077467665357499E-015,302.22847299575807,16.118269751230894,1111.2219572736963,7.2726894744031975E-002,-9999.0,-9999.0,-9999.0,299.60495327912230,100703.93142458101,198.35049399272006,5.3988196007887068E-002,4.3899986361554538E-002,9.2797589007400667E-003,7.5324431681309534E-003,1.5185821065595628E-002,75.391430702889693,1.6656356991324774E-007,-9999.0,-9999.0,-9999.0,5.0208283532526821E-004,31.833802998065948,1.1632132014238472E-003,-4.3260711855694920E-004,8.8838022586723853E-003,-1.1987374004887809E-002,0.77641112741552687,1.0793912924882164E-005,-9999.0,3.2516233010923051E-003,-1.0669764862210919E-003,-1.7782765576126198E-003,-0.60228318031310579,-2.3429687767577181E-006,-9999.0,-4.9506627188352010E-004,5.5342105537852464E-005,-8.6018018385481038E-002,-1.4471092582595843E-006,-9999.0,-9999.0,-9999.0,-1.0345863979444256E-004,6.5945509327036897E-002,0.23235360123718132,0.20952323585119273,9.6331505234476991E-002,8.6789648968819744E-002,0.12323076347079745,8.6828238898926013,4.0812200371120367E-004,-9999.0,-9999.0,-9999.0,2.2407204986906962E-002,5.6421452478703475,0.19736186092699709,0.23861778427657257,-0.39626414081116629,0.14219440756150900,0.19718926580866478,0.10514752756489343,-2.4667360907925432E-002,-9999.0,-9999.0,-9999.0,-2.4269505681884868E-002,0.28864882005757536,2.9880368721567128,2.8770146444314628,3.9548730520239803,3.0265843264729906,3.1138870259791820,1.9209903059912381,3.1399383371391716,-9999.0,-9999.0,-9999.0,2.6643212311227753,3.4687852706077020
2015-07-01T033000_AIU-1380.ghg,2015-07-01,04:00,182.166,36000,1.6484341523918595,-1.0169849968424805E-013,2.2098071737904857E-015,302.10138452784224,16.352710842609536,1129.3458664211712,7.3516131736463028E-002,-9999.0,-9999.0,-9999.0,299.46870178734127,100689.75272346368,235.25794147923230,0.12082498113026474,0.13736197097954228,1.8090700704278598E-002,2.6365131473362169E-002,8.4655617048996296E-002,71.183927414216100,2.6030697622732773E-007,-9999.0,-9999.0,-9999.0,8.3576912518168456E-003,32.994643419981003,-7.9671841998764384E-002,7.6878081424161960E-005,-2.0749075989701438E-002,3.1165571080218654E-002,0.93159733562024771,1.8518536883766090E-005,-9999.0,-9.1008890685560749E-003,3.3526418889956243E-002,-5.1020506798657599E-002,-1.5898826142415763,-1.9268354529604431E-005,-9999.0,-3.8899867989101188E-003,6.4044762757971890E-003,0.10088381435594530,2.9472451722018461E-006,-9999.0,-9999.0,-9999.0,-1.6011706088549927E-003,-4.1645194684549663E-002,0.34759887964472030,0.37062375932951502,0.13450167547015390,0.16237343216598635,0.29095638341338431,8.4370567980911506,5.1020287751768684E-004,-9999.0,-9999.0,-9999.0,9.1420409383336523E-002,5.7440963971699679,3.9369227277645464E-003,0.10197684671797407,0.25896462747472770,-0.18639674762203287,0.66718658875339532,0.61319099108856712,-5.8804474108015092E-002,-9999.0,-9999.0,-9999.0,-0.54336018792640839,-0.37598023385484597,2.3601712891645508,2.5435196410733800,4.8618393189477001,2.8001746546908883,2.8301881606094574,1.8426334194623448,3.3249780526278183,-9999.0,-9999.0,-9999.0,2.2856344941960582,2.2961709831636017
2015-07-01T040000_AIU-1380.ghg,2015-07-01,04:30,182.187,36000,1.8846849124080614,4.7879952549202396E-014,-1.3102540848518753E-014,302.01623405880400,16.739454031838353,1143.7612868058950,7.2677460197506774E-002,-9999.0,-9999.0,-9999.0,299.57960859912947,100677.20658192091,221.17458525895259,7.1697372213864241E-002,0.11289958636044806,2.2732872326761640E-002,3.9402570618712218E-002,6.8243997122301059E-002,19.189511091272152,2.5554729836340781E-007,-9999.0,-9999.0,-9999.0,5.3021774785463549E-002,24.616603570058942,-3.5488108302636936E-003,-1.2175881431723067E-002,6.7507861434024652E-003,-8.6784458292000159E-003,-0.39352961892519689,1.4121214127615794E-005,-9999.0,-1.2893163885566968E-002,4.3718933858932864E-002,-5.4367195368415014E-002,0.62467403387756659,3.9261284599481184E-005,-9999.0,-5.9986536751877872E-003,7.2235113125235489E-003,-4.1654092341657407E-002,-5.2829871618360550E-006,-9999.0,-9999.0,-9999.0,-6.3383032066644746E-003,0.14560449618523794,0.26776364991138030,0.33600533680352168,0.15077424291556446,0.19850080760216623,0.26123552040697118,4.3805834190518675,5.0551686259056464E-004,-9999.0,-9999.0,-9999.0,0.23026457562001054,4.9615122261321636,-0.24390131391581316,0.45033597162655176,0.62414230593378939,6.6344047132985223E-002,-0.20677510532052276,1.0984399128631042,-0.25625980624047168,-9999.0,-9999.0,-9999.0,-0.15927685155969953,3.1006058819436497E-002,2.8826385233911327,3.2384311319385906,3.7638893182444448,2.3384300434259169,2.5116595726864834,4.6507987180035233,3.3473153547006240,-9999.0,-9999.0,-9999.0,1.5282260177600162,1.8918865342534192
