seventh_statistics:seventh_statistics:_on_raw_data_after_despiking_cross_wind_correction_angle-of-attack_correction_tilt_correction_time-lag_compensation_and_detrending
filename,date,time,DOY,used_records,mean(u),mean(v),mean(w),mean(ts),mean(co2),mean(h2o),mean(ch4),mean(none),mean(tc),mean(pc),mean(te),mean(pe),WindDirection,var(u),var(v),var(w),var(ts),var(co2),var(h2o),var(ch4),var(none),var(tc),var(pc),var(te),var(pe),cov(u/v),cov(u/w),cov(u/ts),cov(u/co2),cov(u/h2o),cov(u/ch4),cov(u/none),cov(v/w),cov(v/ts),cov(v/co2),cov(v/h2o),cov(v/ch4),cov(v/none),cov(w/ts),cov(w/co2),cov(w/h2o),cov(w/ch4),cov(w/none),cov(w/tc),cov(w/pc),cov(w/te),cov(w/pe),st_dev(u),st_dev(v),st_dev(w),st_dev(ts),st_dev(co2),st_dev(h2o),st_dev(ch4),st_dev(none),st_dev(tc),st_dev(pc),st_dev(te),st_dev(pe),skw(u),skw(v),skw(w),skw(ts),skw(co2),skw(h2o),skw(ch4),skw(none),skw(tc),skw(pc),skw(te),skw(pe),kur(u),kur(v),kur(w),kur(ts),kur(co2),kur(h2o),kur(ch4),kur(none),kur(tc),kur(pc),kur(te),kur(pe)
2015-06-30T233000_AIU-1380.ghg,2015-07-01,00:00,182.000,36000,1.6868090207231532,-6.1268043379390055E-015,4.4889835975621324E-016,304.46294866773815,15.595982346377651,1284.3911740145963,7.1572761746856728E-002,-9999.0,-9999.0,-9999.0,301.25313805862510,100849.97311452514,149.04894557907684,0.19119189775812337,9.9714518777768837E-002,1.8061781903914720E-002,1.5203700734146723E-002,6.7403536029689726E-003,5.4547622264732025,2.7232158679447723E-007,-9999.0,-9999.0,-9999.0,6.7704859476558710E-003,102.74481488071032,6.4274615752950306E-002,-1.7732439370297955E-002,2.7789593860478967E-002,-2.4688680570297217E-002,-0.47310347981771839,-3.9831568236156729E-005,-9999.0,2.6910050102830997E-004,2.2637439281843127E-002,-1.6600571480869707E-002,-7.0710229595395746E-002,-2.7981538321571353E-005,-9999.0,-1.9135938864752551E-003,1.7164938929998758E-003,6.9392491344756738E-002,-3.0323400484598082E-006,-9999.0,-9999.0,-9999.0,1.4200157504471283E-004,9.2936092963611133E-002,0.43725495738541759,0.31577605795526809,0.13439412897859310,0.12330328760477850,8.2099656533806353E-002,2.3355432401206366,5.2184440860708397E-004,-9999.0,-9999.0,-9999.0,8.2282962681565319E-002,10.136311700056895,0.28124329367989620,-0.45069300554282127,0.17069679579025873,-0.11987207961479433,0.34809758550000758,-0.77427260583168633,-0.52071029177044659,-9999.0,-9999.0,-9999.0,0.53221921812482376,0.18980494732006767,3.2614648751946982,2.9038263756376814,4.2904680235323642,2.3774584198906630,3.3570725690641079,3.4986097132230913,3.1129752916931417,-9999.0,-9999.0,-9999.0,2.3460951411974613,1.9635562506809916
2015-07-01T000000_AIU-1380.ghg,2015-07-01,00:30,182.020,36000,1.9983745788299563,3.9787420559857491E-014,1.5725024794977069E-014,304.49875993686254,15.525576209455039,1279.5176819549602,7.1243847664537285E-002,-9999.0,-9999.0,-9999.0,301.26619011362044,100836.80606543178,122.72745102128779,0.49890641572451799,0.12977899791488340,4.4645371769982005E-002,4.7963096021461586E-002,2.7327646971431200E-002,16.700669408888032,2.7639301869101868E-007,-9999.0,-9999.0,-9999.0,1.9491662764916946E-002,103.39095005774412,-2.3537883479436899E-002,-1.4592472614109344E-002,0.11485304091372078,-9.1174954454886672E-002,-2.4720247752997992,-5.9551843080340911E-005,-9999.0,-2.0117079777857857E-003,3.9882209395703874E-003,3.8853944504134655E-005,0.14583821251057388,-1.3169416850313226E-005,-9999.0,-1.2126700938998692E-002,9.5264895600160118E-003,0.12191669464187797,1.9741675918482611E-006,-9999.0,-9999.0,-9999.0,9.6688588889731752E-004,-3.1199535955467983E-002,0.70633307704263570,0.36024852243261651,0.21129451429221252,0.21900478538484403,0.16531075878910967,4.0866452511672744,5.2573093754411935E-004,-9999.0,-9999.0,-9999.0,0.13961254515593127,10.168134049949584,0.49175905929471847,2.5570573569501643E-002,0.17620599498104472,2.2969010895407593E-002,-5.0762768710007601E-002,-0.98436184185295583,-8.0560754660554942E-002,-9999.0,-9999.0,-9999.0,0.40381626738385340,-0.70950270664484216,2.1826776591575463,2.7366289549154050,4.1611404162638825,2.1291250147941456,2.1917932525176016,3.9268480001313106,4.4259997057672225,-9999.0,-9999.0,-9999.0,1.9197994711665984,2.0143423330512311
2015-07-01T003000_AIU-1380.ghg,2015-07-01,01:00,182.041,36000,2.7056447577862826,-3.1613929225218114E-013,-7.1565785348698911E-015,303.47235131708800,15.719829128202973,1188.0413499695567,7.2379730091342187E-002,-9999.0,-9999.0,-9999.0,300.76216325557431,100847.27621508380,161.22090035864190,0.91283749922449275,0.56934454931333189,9.1979545241865510E-002,0.20106336672827230,2.4973295758470890E-002,1334.6562582205170,6.9498199654907951E-007,-9999.0,-9999.0,-9999.0,7.6144085828135671E-002,139.82865634478495,0.37396038815541727,-8.8018595810813616E-002,0.25232603293845679,-2.4829348115998889E-002,13.187673958989128,-1.2274022155017416E-004,-9999.0,9.2604010224190368E-003,0.23750791209418018,-4.9185642273445610E-003,18.733744929434664,-2.5914427885565894E-004,-9999.0,4.2316280715501272E-003,1.2006443594084270E-002,1.4443675442716450,-1.6864235703881682E-005,-9999.0,-9999.0,-9999.0,6.7081185708060560E-003,3.2443531913013003E-002,0.95542529756359951,0.75454923584437605,0.30328129721739439,0.44840089956229157,0.15802941421922340,36.532947570932691,8.3365580220441063E-004,-9999.0,-9999.0,-9999.0,0.27594217841449259,11.824916758471703,0.60247403858138215,0.48128435994561486,1.1180427417160088,0.89181614141469001,0.43604417036414350,1.2681406864466482,-0.63664316180271774,-9999.0,-9999.0,-9999.0,0.58296195585298616,0.59899544329443966,2.7734310205382791,2.4995930715879053,6.9364168155075339,2.8670269743514605,4.6008185140702693,3.7413251409845651,3.4294476386865607,-9999.0,-9999.0,-9999.0,2.1980248020594448,1.9969631631248428
2015-07-01T010000_AIU-1380.ghg,2015-07-01,01:30,182.062,36000,1.8812539236739563,-1.8242728538177934E-014,-9.0344472740649364E-016,303.08525367440120,15.683776140809050,1151.4156494174536,7.2180165393587750E-002,-9999.0,-9999.0,-9999.0,300.37404315969798,100817.82241620112,171.52977025878118,0.16986318404639325,0.12282137924473614,2.8888469039512234E-002,7.0984508364110820E-003,1.6102365590097212E-003,7.1068743763913114,4.9234266737858404E-007,-9999.0,-9999.0,-9999.0,2.4207692238549169E-003,235.29893187143762,-5.3710721638050345E-002,-1.7593157830787222E-002,-7.4730430190565831E-003,2.4266048713856700E-003,5.8751125969292231E-003,-8.8361577239283624E-005,-9999.0,-6.1955685158177664E-003,4.3020647946094594E-003,1.8872804760050733E-003,0.11841092916937833,6.7879449032329282E-005,-9999.0,5.5346585763719721E-004,7.5249354779065671E-006,-1.4393436168184254E-003,2.4781380060986375E-006,-9999.0,-9999.0,-9999.0,4.3121895089311152E-004,8.2594432076865884E-002,0.41214461545238373,0.35045881247977789,0.16996608202671565,8.4252304635606748E-002,4.0127752977331302E-002,2.6658721605492097,7.0167133857567819E-004,-9999.0,-9999.0,-9999.0,4.9201313233031868E-002,15.339456700660477,0.15535993429958375,5.5924894263277625E-002,0.81372881959277077,0.15154159972362036,0.90779461601544165,0.12113423088953885,4.6312658086080594E-002,-9999.0,-9999.0,-9999.0,0.11264997466514215,4.1373872831819210E-002,2.7231811235417256,2.4880202668739102,4.5937255283700615,3.0269256604716110,5.4288397990990660,4.1396924441867746,2.7872951155941212,-9999.0,-9999.0,-9999.0,2.1508933471872602,1.8106076344447342
2015-07-01T013000_AIU-1380.ghg,2015-07-01,02:00,182.083,36000,1.5632003069662559,2.4369846974165781E-014,2.2432445125066198E-015,302.74478049299461,16.021964553383079,1159.0032733606583,7.2836932404524019E-002,-9999.0,-9999.0,-9999.0,300.04531918488397,100759.72131284917,180.22609339370700,0.31327566782989591,6.4506212560548545E-002,1.0275987970148172E-002,3.8158459881182431E-002,3.5514159895493558E-002,23.360817528272740,9.1181473525169857E-007,-9999.0,-9999.0,-9999.0,3.4540417514788369E-002,106.43755693563116,1.4918662536376527E-002,-7.2744139854429932E-003,8.9079218575695507E-002,-8.5051335734662170E-002,-1.2332706733156562,-3.3727889027056001E-004,-9999.0,1.3207558119142872E-003,1.7349475469175071E-003,-5.7100380260422315E-003,-0.51182313768668686,8.7526186654394179E-006,-9999.0,-6.9604797895988829E-004,1.0881962908687131E-003,5.0355352030921577E-002,2.0844131045739508E-006,-9999.0,-9999.0,-9999.0,-3.9281402166952914E-004,-2.7645888991036975E-002,0.55971034279339160,0.25398073265613780,0.10137054784378041,0.19534190508230034,0.18845200952893434,4.8333029625994621,9.5488990739859560E-004,-9999.0,-9999.0,-9999.0,0.18585052465567153,10.316857900331437,0.90559011270076850,0.73712836171955864,0.71075689746448245,0.39955941616642388,-0.17224810296424867,-0.88622778800665025,-7.6741707424835548E-002,-9999.0,-9999.0,-9999.0,0.18445282030801527,1.4261723208319579,2.7731976798873612,3.7005862332802626,7.0976790833904868,2.0503441076624522,1.7087061330254782,3.1329135139030089,2.4120435070943791,-9999.0,-9999.0,-9999.0,1.6745579332612863,3.8803131550695751
2015-07-01T020000_AIU-1380.ghg,2015-07-01,02:30,182.104,36000,1.8281793307384557,-1.5188509705465076E-013,3.0553896307200133E-015,302.55178566869097,15.977336010827068,1113.6047430962467,7.2552815240449473E-002,-9999.0,-9999.0,-9999.0,299.95097970546959,100737.76519553072,176.69541326821113,0.38114543139384627,0.16628221848918795,1.1168631912617730E-002,0.10577559923858060,0.25290699058535865,673.93481824550270,1.1345800180250891E-007,-9999.0,-9999.0,-9999.0,4.3440874642065169E-002,24.023204850027071,-3.4821489566054513E-002,-2.0081686967591572E-003,0.12154058137253775,-0.21491914468122802,-11.369941149683639,-8.2439208955456170E-005,-9999.0,-3.3286788573781033E-003,5.6310403717620548E-002,-6.0834626549591563E-002,2.8727026289730215,-1.4998708863618433E-005,-9999.0,3.2091759001297327E-005,-1.0507536868444198E-004,-0.15667719176330483,-7.3538226172539976E-007,-9999.0,-9999.0,-9999.0,1.6222676081743838E-003,-4.3482982601809245E-002,0.61736976877220529,0.40777716768988914,0.10568174824735693,0.32523160860928108,0.50289858876850968,25.960254587455470,3.3683527398790778E-004,-9999.0,-9999.0,-9999.0,0.20842474575267009,4.9013472484641474,3.1118308830655125E-002,0.22040145800364636,0.78175410564748182,-0.12762415149225351,1.7242017587877672,-1.7600198528739969E-002,-5.4736056238542496E-002,-9999.0,-9999.0,-9999.0,-8.4871644731486603E-002,0.19722594439312685,1.6725794976121120,1.9868099206324357,5.3882301037761806,3.4003356910459948,5.4690333427631517,1.5341270726177192,3.1501590293107027,-9999.0,-9999.0,-9999.0,2.5652636577467045,2.2594025240895581
2015-07-01T023000_AIU-1380.ghg,2015-07-01,03:00,182.124,36000,1.5623539974028715,5.7935599695526336E-014,-2.5737356500565304E-015,302.30611517376371,16.069260757949635,1088.6650018276623,7.3006237217026454E-002,-9999.0,-9999.0,-9999.0,299.75707249878820,100737.74562604807,192.01898605746825,0.22011863592812114,3.3278473571709641E-002,5.9517984395589746E-003,1.0135235539607407E-002,1.7880367959010712E-002,94.781146449615918,3.8800173234354409E-007,-9999.0,-9999.0,-9999.0,4.9097017603026878E-003,74.720208649391864,-1.5178104177736691E-002,2.9458507394136508E-003,2.6690384381471408E-002,-3.7229998706560470E-002,-3.1183121540167460,1.3542892998853177E-006,-9999.0,-1.1210279772745800E-003,-1.2736974651123814E-003,3.0596395319532912E-003,0.40058992272828281,1.6002289979834203E-006,-9999.0,-2.3205373501781256E-004,-1.7654957178678171E-004,-5.0483357645773906E-002,1.6683237825076201E-006,-9999.0,-9999.0,-9999.0,7.8942706655036818E-004,-5.2145649751633702E-002,0.46916802526186835,0.18242388432359849,7.7147899774128489E-002,0.10067390694518320,0.13371749309275399,9.7355609211599052,6.2289785064932124E-004,-9999.0,-9999.0,-9999.0,7.0069264019987310E-002,8.6440851829092864,0.92829120824494316,-0.63598446906809658,0.22011992045318154,-0.69040416468537402,0.41750331337910607,-0.43907407420361622,-0.18342640779849653,-9999.0,-9999.0,-9999.0,-9.5463872982506290E-002,-0.37883249679303788,3.1286736112916889,4.2370334580574074,4.4136402677638955,3.6215125577121503,3.0473584076788733,2.2228962136072239,3.5113872811953688,-9999.0,-9999.0,-9999.0,2.2589390469194894,2.2824575588260867
2015-07-01T030000_AIU-1380.ghg,2015-07-01,03:30,182.145,36000,1.4554887813123725,1.6118079138154511E-014,1.3077467665357499E-015,302.22847299575807,16.118310967852562,1111.2219572736963,7.2726872598621095E-002,-9999.0,-9999.0,-9999.0,299.60495327912230,100703.93142458101,198.35049399272006,5.3988196007923143E-002,4.3899986361554330E-002,9.2797589007400736E-003,7.5324483158386735E-003,1.5182735541009799E-002,75.391430614805387,1.6655226525771195E-007,-9999.0,-9999.0,-9999.0,5.0207856554172672E-004,31.833802998511761,1.1632132014237333E-003,-4.3260711855693185E-004,8.8838022621203269E-003,-1.1933149853790594E-002,0.77641112740702667,1.1221211987405218E-005,-9999.0,3.2516233010923133E-003,-1.0669764861528990E-003,-1.7226487280696092E-003,-0.60228318031310057,-2.5877602248778486E-006,-9999.0,-4.9506627188204493E-004,1.0589461541050962E-004,-8.6018018385520964E-002,-1.8050806614958037E-006,-9999.0,-9999.0,-9999.0,-1.0345863980509189E-004,6.5945509325572152E-002,0.23235360123725896,0.20952323585119223,9.6331505234477019E-002,8.6789678625045469E-002,0.12321824353970397,8.6828238848202712,4.0810815387310254E-004,-9999.0,-9999.0,-9999.0,2.2407109709682030E-002,5.6421452479098555,0.19736186092679928,0.23861778427657429,-0.39626414081116595,0.14219426179712524,0.19691637036287196,0.10514752774916861,-2.4887984725485320E-002,-9999.0,-9999.0,-9999.0,-2.4269815272146274E-002,0.28864882005151171,2.9880368721527191,2.8770146444314904,3.9548730520239759,3.0265801897127962,3.1148076398391700,1.9209903104800530,3.1397698941432508,-9999.0,-9999.0,-9999.0,2.6643665472310305,3.4687852705105442
2015-07-01T033000_AIU-1380.ghg,2015-07-01,04:00,182.166,36000,1.6484341523918595,-1.0169849968424805E-013,2.2098071737904857E-015,302.10138452784224,16.352710842609536,1129.3454587944811,7.3516056637510444E-002,-9999.0,-9999.0,-9999.0,299.46870178734127,100689.75272346368,235.25794147923230,0.12082498113026878,0.13736197097954345,1.8090700704278654E-002,2.6365129561538372E-002,8.4655617037340383E-002,71.179922972043741,2.6026232108063751E-007,-9999.0,-9999.0,-9999.0,8.3576865542596464E-003,32.994643420738200,-7.9671841998763343E-002,7.6878081424212430E-005,-2.0749075989075452E-002,3.1165571080356246E-002,0.93217525658470091,1.8010545301390321E-005,-9999.0,-9.1008890685561027E-003,3.3526418889702495E-002,-5.1020506798672420E-002,-1.5889713332421964,-1.9620712861394326E-005,-9999.0,-3.8899867989036479E-003,6.4044762757969253E-003,0.10126657589757485,3.5707722307000829E-006,-9999.0,-9999.0,-9999.0,-1.6011706088574081E-003,-4.1645194685459935E-002,0.34759887964472608,0.37062375932951658,0.13450167547015410,0.16237342627886611,0.29095638339335395,8.4368194820112006,5.1015911349366048E-004,-9999.0,-9999.0,-9999.0,9.1420383691273394E-002,5.7440963972358787,3.9369227277643503E-003,0.10197684671797279,0.25896462747472659,-0.18639676789641144,0.66718658889118909,0.61325855693764031,-5.9231768793784806E-002,-9999.0,-9999.0,-9999.0,-0.54336064603151391,-0.37598023384190338,2.3601712891643940,2.5435196410733374,4.8618393189476725,2.8001750607909788,2.8301881613888140,1.8427562235513697,3.3249225872915500,-9999.0,-9999.0,-9999.0,2.2856370635438599,2.2961709830582118
2015-07-01T040000_AIU-1380.ghg,2015-07-01,04:30,182.187,36000,1.8846849124080614,4.7879952549202396E-014,-1.3102540848518753E-014,302.01623405880400,16.739452433270174,1143.7612778236999,7.2677259831351010E-002,-9999.0,-9999.0,-9999.0,299.57960859912947,100677.20658192091,221.17458525895259,7.1697372213838276E-002,0.11289958636044806,2.2732872326761609E-002,3.9402565972451335E-002,6.8245800833244150E-002,19.196431583952414,2.5521324076221628E-007,-9999.0,-9999.0,-9999.0,5.3021770364265502E-002,24.616603570961832,-3.5488108302631212E-003,-1.2175881431723132E-002,6.7507861399768009E-003,-8.6701490923700459E-003,-0.38186478117496364,1.4274588438535755E-005,-9999.0,-1.2893163885566911E-002,4.3718933858709438E-002,-5.4231746152420254E-002,0.62772040090440673,3.9455976782159938E-005,-9999.0,-5.9986536752008636E-003,7.3761417041257223E-003,-4.7167060428747479E-002,-5.8590305190278153E-006,-9999.0,-9999.0,-9999.0,-6.3383032066585574E-003,0.14560449617296331,0.26776364991133184,0.33600533680352168,0.15077424291556435,0.19850079589878558,0.26123897265385987,4.3813732532109624,5.0518634261252182E-004,-9999.0,-9999.0,-9999.0,0.23026456601975367,4.9615122262231530,-0.24390131391594561,0.45033597162655176,0.62414230593379083,6.6344058867694095E-002,-0.20675459063014329,1.0982487084574453,-0.26080469269427070,-9999.0,-9999.0,-9999.0,-0.15927687148155001,3.1006058817730633E-002,2.8826385233932195,3.2384311319385906,3.7638893182444559,2.3384305949106445,2.5115914521975644,4.6491339108112513,3.3366546437390046,-9999.0,-9999.0,-9999.0,1.5282262726209963,1.8918865341146376
