file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7500,,,,RSSI_LI-7500,variances,,,,,,covariances,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2_mean,h2o_mean,dew point_mean,co2_signal_strength_7500_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--
2015-09-01T000000_AIU-0305.ghg,01-09-15,0:30,244.02,0,18000,18000,8.28E-03,1,-0.338051559,2,8.58229495,2,1.389192582,2,0.194737454,2,-9999,-9999,-9999,-9999,-1.92E-11,-8.25E-13,22.2784622,544.710045,557.7352214,0.5,0,955.158335,23.35369178,23.91212826,0,1,301.9478607,296.1277175,100695.2316,1.174181564,1018.564678,2.45E-02,1.26E-02,1.72E-02,2352.236195,2797.32091,1.47E-02,84.08889328,445.0847155,293.2685815,8.85E-02,0.211022235,4.64E-02,0.233482775,-1.40E-14,-8.64E-16,0.233482775,0.922897875,152.7472312,67.25276877,11.46994285,-9999,8.40E-02,5.63E-02,153.8783402,1.12E-02,-3.94E-02,-3.37E-03,1,1.596729531,1,1,3,5,9,29,8.04E-03,1.029384677,0.148743868,1.031412655,7.412358109,1.13621182,1.147992071,1.13621182,0.168190881,1.13621182,800000009,800000009,800000009,800000009,800000009,810110019,899999999,899999999,89999,89999,89,89,0,13,6,0,0,16,0,0,0,0,80,3.13E-02,7.65E-02,4.81E-03,1.59E-02,0.206761435,516.8141603,1.24E-04,1.15E-03,0.168190881,543.6814892,23.30981359,20.06012303,78.73154687
2015-09-01T003000_AIU-0305.ghg,01-09-15,1:00,244.041,0,18000,18000,1.29E-02,1,-2.603154247,0,-11.42698615,2,7.390303804,0,-0.259276237,2,-4.11E-02,-0.471871921,-6.57E-02,-1.07E-02,1.23E-11,5.25E-13,22.20611116,542.988102,555.8124685,0.2,0,943.6041273,23.07318964,23.61813536,0.5,0,301.9465609,296.091984,100674.3574,1.17420547,1018.403043,2.45E-02,-1.68E-02,1.70E-02,2323.501629,2791.277741,1.45E-02,83.24150603,467.776112,293.0700857,0.347643305,0.36312024,4.40E-02,0.504629893,-2.14E-14,5.56E-16,0.504629893,1.287720885,173.7525768,46.24742318,5.006202729,-9999,0.10477805,9.33E-02,38.82520963,4.44E-02,0.227807596,-2.08E-02,1,4.018069438,2,4,7,13,26,100,1.27E-02,1.014019183,-3.155940821,1.025566109,-9.269425437,1.171326994,6.568938538,1.171326994,-0.210321577,1.171326994,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,4,5,0,2,3,10,0,0,0,0,80,3.09E-02,0.14756607,8.20E-03,1.64E-02,0.316446346,1776.800444,-2.64E-03,6.57E-03,-0.210321577,542.0383548,23.032946,19.85305956,79.24748911
2015-09-01T010000_AIU-0305.ghg,01-09-15,1:30,244.062,0,18000,18000,4.06E-03,0,-1.079775262,0,0.328746194,2,2.853764463,1,7.46E-03,2,-6.42E-02,0.193627489,-0.170041757,4.39E-03,1.88E-11,8.07E-13,22.02658489,538.5337497,551.3178574,0.2,0,948.4241448,23.18827061,23.73873072,0,1,301.8641032,296.0361147,100667.4245,1.174294643,1018.467944,2.44E-02,4.83E-04,1.71E-02,2334.929632,2781.852081,1.46E-02,83.93435612,446.9224485,293.1492856,0.268483526,0.182674475,3.64E-02,0.326766122,-7.52E-15,8.51E-16,0.326766122,0.949405624,185.7688794,34.23112064,6.390313047,-9999,5.88E-02,6.95E-02,16.56603626,0.104026091,-3.284525514,-1.53E-02,1,4.802580711,2,4,9,17,35,147,3.99E-03,1.017476328,-1.031182856,1.030788571,0.374302269,1.19851471,2.433781122,1.19851471,8.49E-03,1.19851471,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,0,3,2,1,8,0,0,0,0,80,2.00E-02,0.115380626,3.63E-03,6.96E-03,0.143010316,720.4636858,-8.62E-04,2.43E-03,8.49E-03,537.434831,23.14094113,19.93625612,79.88048755
2015-09-01T013000_AIU-0305.ghg,01-09-15,2:00,244.083,0,18000,18000,1.32E-02,1,-3.056374644,1,19.68671916,1,-9.284173154,2,0.44661293,1,-0.135412653,-0.958847757,0.122105164,-2.18E-02,1.20E-11,5.02E-13,22.16664695,541.7310319,554.2678449,0,1,925.5156259,22.61869087,23.14213568,0,0,301.7020511,295.9183474,100669.5677,1.175042248,1018.139252,2.44E-02,2.89E-02,1.67E-02,2277.624616,2762.074671,1.42E-02,82.46064595,484.4500557,292.748667,-0.235099466,1.89E-02,5.31E-02,0.241756198,3.03E-14,5.42E-16,0.241756198,1.011603552,44.59755073,175.4024493,12.68180749,-9999,0.105955518,4.03E-02,34.19124801,5.04E-02,-0.155250584,-2.41E-02,1,0.969230936,1,1,2,3,6,23,1.30E-02,1.018137805,-1.909638429,1.026350593,16.89642932,1.159627025,-8.049823332,1.159627025,0.383312412,1.159627025,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,10,4,4,1,5,22,0,0,0,0,80,4.33E-02,3.15E-02,5.87E-03,8.76E-03,0.217157617,758.1623488,-1.60E-03,-8.05E-03,0.383312412,540.7585895,22.57822097,19.53944547,80.95539671
2015-09-01T020000_AIU-0305.ghg,01-09-15,2:30,244.104,0,18000,18000,2.11E-02,1,4.315366883,2,2.215231284,2,-14.22892774,2,5.02E-02,2,-0.255192552,-0.928828589,0.96259345,-2.11E-02,1.57E-11,6.10E-13,23.21015947,566.9223917,579.7151778,0,1,903.4517822,22.06736433,22.5653215,0,1,301.3635741,295.6965069,100649.2929,1.175934183,1017.819343,2.44E-02,3.26E-03,1.63E-02,2221.660393,2725.152991,1.38E-02,81.52424472,503.4925976,292.3488025,0.20022013,-3.57E-02,5.19E-02,0.209905592,-4.35E-15,6.75E-16,0.209905592,0.792951072,230.1069656,349.8930344,14.32834042,-9999,0.133837681,4.47E-02,-48.79335317,-3.53E-02,1.94804349,2.69E-02,1,0.518331754,1,1,1,2,5,-9999,2.04E-02,1.031725267,4.302338109,1.032987682,1.476484895,1.138277049,-12.77406385,1.138277049,3.35E-02,1.138277049,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,3,1,3,2,3,0,0,0,0,81,7.22E-02,1.24E-02,4.77E-03,1.62E-02,0.519395125,375.1890075,3.59E-03,-1.28E-02,3.35E-02,565.7346747,22.02108069,19.13760938,82.52638225
2015-09-01T023000_AIU-0305.ghg,01-09-15,3:00,244.124,0,18000,18000,2.93E-03,1,-0.5513283,1,-17.23296194,1,7.248551076,1,-0.390722686,1,-0.426725458,-2.242960499,1.365810765,-5.09E-02,-4.66E-12,-1.60E-13,24.69596948,602.6315436,615.3934307,0,1,849.8382259,20.73776947,21.1769318,0,1,300.8832147,295.3258189,100620.3113,1.177667928,1017.052812,2.44E-02,-2.53E-02,1.53E-02,2087.200539,2664.419749,1.30E-02,78.33602566,577.2192108,291.3507388,0.301974885,-8.58E-02,4.80E-02,0.317575583,-1.59E-14,-1.89E-16,0.317575583,0.652720994,235.8648878,344.1351122,8.686422573,-9999,4.99E-02,3.28E-02,19.77056973,8.72E-02,3.20E-02,-9.23E-03,1,6.088869748,3,6,11,21,44,182,2.87E-03,1.021539465,-1.3867705,1.040760143,-13.29650284,1.264776206,5.947731273,1.264776206,-0.301471408,1.264776206,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,0,0,0,18,2,3,0,0,0,0,84,1.42E-02,5.08E-02,5.03E-04,2.11E-02,0.766151977,840.7778915,-1.16E-03,5.95E-03,-0.301471408,601.4864922,20.69820072,18.13829783,83.71511859
2015-09-01T030000_AIU-0305.ghg,01-09-15,3:30,244.145,0,18000,18000,8.62E-03,1,-1.984173634,2,-6.414928335,1,23.79322696,2,-0.145430648,1,-0.122006522,-1.307275258,1.072116088,-2.96E-02,-2.57E-12,-8.14E-14,25.84803911,630.6582129,643.5045068,0.5,0,818.2006215,19.96302078,20.36966074,-0.2,0,300.7748106,295.2198338,100597.9424,1.178176592,1016.609574,2.44E-02,-9.42E-03,1.47E-02,2008.777503,2647.274132,1.25E-02,75.88097803,638.4966294,290.7422733,0.126346416,9.64E-02,4.85E-02,0.166159318,-2.08E-14,-9.94E-17,0.166159318,0.667661076,182.6609617,37.33903832,16.98196017,-9999,8.55E-02,3.65E-02,27.68242958,6.23E-02,0.309305659,-1.94E-02,1,0.671326051,1,1,1,3,6,47,8.43E-03,1.022209344,-2.264791352,1.031544497,-5.130375132,1.185941382,20.26238795,1.185941382,-0.116308982,1.185941382,800000009,800000009,800000009,800000009,800010009,800110019,899999999,899999999,89999,89999,89,89,8,0,0,6,1,8,0,0,0,0,87,1.83E-02,5.20E-02,2.59E-03,1.14E-02,0.94178842,37.73353865,-1.89E-03,2.03E-02,-0.116308982,629.5387358,19.92784477,17.54008443,84.86596214
2015-09-01T033000_AIU-0305.ghg,01-09-15,4:00,244.166,0,18000,18000,7.60E-03,1,-3.196606958,0,-4.931461899,0,18.78953407,1,-0.111811322,0,0.125787219,0.138867533,-0.628084666,3.15E-03,8.01E-11,2.62E-12,25.1634258,614.2317555,626.7961128,0.6,0,821.2048086,20.04536565,20.45540166,0.5,0,300.9492851,295.3291506,100589.7752,1.177607924,1016.658652,2.44E-02,-7.25E-03,1.48E-02,2016.899691,2664.960304,1.26E-02,75.68216639,648.0606125,290.8062494,0.486200066,0.307367699,5.31E-02,0.577650298,8.94E-15,3.18E-15,0.577650298,1.651337432,187.6995978,32.30040218,5.269478795,-9999,8.03E-02,4.69E-02,14.23895604,0.121027131,0.648206764,-3.32E-02,1,7.283097834,3,7,14,26,57,244,7.48E-03,1.016060394,-3.357107313,1.031446801,-3.708721054,1.214741607,15.71175509,1.214741607,-8.41E-02,1.214741607,800000009,800000009,800000009,800000009,800000009,801100009,899999999,899999999,89999,89999,89,89,8,9,1,4,1,2,0,0,0,0,87,5.43E-02,3.13E-02,8.22E-03,4.50E-02,3.411278635,99.73919952,-2.80E-03,1.57E-02,-8.41E-02,613.1672403,20.01060242,17.60363124,85.67147852
2015-09-01T040000_AIU-0305.ghg,01-09-15,4:30,244.187,0,18000,18000,1.48E-02,0,-3.631761969,0,0.836583338,2,7.191773553,0,1.90E-02,2,0.277359347,1.754877111,-2.727748,3.98E-02,-2.23E-11,-8.64E-13,22.21829768,542.8283087,554.5215823,-0.1,0,863.1096076,21.08713887,21.54138505,0,1,301.3413365,295.5703629,100581.7524,1.176086028,1017.256832,2.44E-02,1.23E-03,1.56E-02,2121.550311,2704.351292,1.32E-02,78.44950903,582.800981,291.6109548,0.253029896,0.604970211,3.01E-02,0.656446403,-1.34E-14,-1.00E-15,0.656446403,1.82734471,152.697209,67.30279099,2.632140247,-9999,0.112041119,8.51E-02,33.99164395,5.07E-02,-4.341183723,-2.71E-02,1,5.516242783,2,5,10,18,37,143,1.46E-02,1.012890923,-3.502368546,1.024515762,1.034770074,1.169164886,6.337569224,1.169164886,2.35E-02,1.169164886,800000009,800000009,800000009,800000009,800000009,800000109,899999999,899999999,89999,89999,89,89,11,15,1,1,4,10,0,0,0,0,87,8.11E-02,7.38E-02,1.52E-02,5.53E-03,7.95E-02,242.0165239,-2.93E-03,6.34E-03,2.35E-02,541.8770998,21.05019999,18.40624901,87.08360561
