Label,#Msgs,Obs#,Port#,#Raw,IV Date,ObsDateTime,Exp_Flux,Lin_Flux,CrvFitStatus,Comments,Port#,Mean RH,Mean Tcham,Observation Length,Tmux,Vcham,Area,Vtotal,MinCO2,Flux@Min,IV V1,IV V2,IV V3,IV V4,IV T1,IV T2,IV T3,IV T4,IV DOY,IV RH
Profile1 - 30.65 m,5,1,5,61,3/21/14 18:32,3/21/14 18:31,0,0,,,5,??,128.04,1:00,36.55,0,0,74,0,0,2.7,??,??,??,??,??,??,??,79.7726,??
Profile2 - 15 m,5,2,6,61,3/21/14 18:35,3/21/14 18:34,0,0,,,6,??,131.04,1:00,36.47,0,0,74,0,0,2.8,??,??,??,??,??,??,??,79.7744,??
Harvest path - under palm,4,3,1,133,3/21/14 18:37,3/21/14 18:35,2.82,2.82,Lin,,1,2.86E+06,-78.39,2:00,36.46,4076.2,317.8,6629,0,0,2.6,29.067,-0.011,??,??,??,??,??,79.77613,3.05E+06
Profile3 - 10 m,5,4,7,61,3/21/14 18:40,3/21/14 18:39,0,0,,,7,??,130.6,1:00,36.38,0,0,74,0,0,2.9,??,??,??,??,??,??,??,79.77817,??
Profile4 - 2 m,5,5,8,61,3/21/14 18:43,3/21/14 18:42,0,0,,,8,??,130.98,1:00,36.33,0,0,74,0,0,2.8,??,??,??,??,??,??,??,79.77997,??
Harvest path - open,4,6,2,131,3/21/14 18:45,3/21/14 18:43,1.17,1.84,Exp,,2,95.11,28.71,2:00,36.32,4076.2,317.8,5739.2,0,0,2.689,28.98,-0.239,??,??,??,??,??,79.78169,91.96
Profile1 - 30.65 m,5,7,5,61,3/21/14 18:48,3/21/14 18:47,0,0,,,5,??,131.16,1:00,36.21,0,0,74,0,0,2.7,??,??,??,??,??,??,??,79.7837,??
Profile2 - 15 m,5,8,6,61,3/21/14 18:51,3/21/14 18:50,0,0,,,6,??,130.77,1:00,36.18,0,0,74,0,0,2.8,??,??,??,??,??,??,??,79.7855,??
Frond pile - north,4,9,3,136,3/21/14 18:53,3/21/14 18:51,2.06,2.06,Lin,,3,4.55E+06,-82.18,2:00,36.12,4076.2,317.8,6374.8,0,0,2.7,27.317,0.058,??,??,??,??,??,79.78728,7.69E+06
Profile3 - 10 m,5,10,7,61,3/21/14 18:56,3/21/14 18:55,0,0,,,7,??,130.08,1:00,36.06,0,0,74,0,0,2.955,??,??,??,??,??,??,??,79.78932,??
Profile4 - 2 m,5,11,8,61,3/21/14 18:59,3/21/14 18:58,0,0,,,8,??,130.94,1:00,35.98,0,0,74,0,0,2.8,??,??,??,??,??,??,??,79.79111,??
Frond pile - south,4,12,4,133,3/21/14 19:01,3/21/14 18:59,2.22,2.22,Lin,,4,5.38E+06,-83.17,2:00,35.97,4076.2,317.8,6438.4,0,0,2.6,28.75,-0.213,??,??,??,??,??,79.79285,5.44E+06
