file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,storage_fluxes,,,,vertical_advection_fluxes,,gas_densities_concentrations_and_timelags,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,diagnostic_flags_LI-7500,,,,RSSI_LI-7500,variances,,,,,,covariances,,,custom_variables,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,H_strg,LE_strg,co2_strg,h2o_strg,co2_v-adv,h2o_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,w/ts_cov,w/co2_cov,w/h2o_cov,co2_mean,h2o_mean,dew point_mean,co2_signal_strength_7500_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,[m+1K+1s-1],--,--,--,--,--,--
2014-12-01T230000_AIU-0923.ghg,2014-12-01,23:30,335.979,0,18000,18000,3.4577225195113973E-003,1,0.51714104995479349,1,-0.50696532833504993,1,-2.3720433049306759,1,-1.1518701563269156E-002,1,-9999.0,-9999.0,-9999.0,-9999.0,-2.5962398835433845E-012,-1.8296387298354920E-013,17.365633435461252,428.74310353972493,443.39205558381894,0.0000000000000000,1,1223.8019954566780,30.214657449739491,31.156026106028275,0.0000000000000000,1,300.10571620686846,297.50308095635307,100183.21622222223,1.1597668204454263,1022.5570218765971,2.4689171583238422E-002,-7.4641186129984134E-004,2.2052912335980723E-002,3027.8135214927520,3038.7761088906486,1.9014953650347541E-002,99.639243333333340,10.962587397896675,297.41382750165832,0.72924091718925022,-6.9666893358144091E-002,-7.5895766973435586E-002,0.73648215102450676,7.8873381031997331E-015,-1.4950447348737472E-016,0.73648215102450676,0.94456353897538947,239.45710145962332,354.54289854037671,-5.9149305268787460,-9999.0,5.4602148181286621E-002,1.5514859235650179E-002,-27.598763971543363,-0.72213378905481040,-1.0200718294743394,7.9862162961335751E-003,1,168.02003262730426,75.000000000000000,132.00000000000000,217.00000000000000,326.00000000000000,519.00000000000000,1161.0000000000000,3.2347551196100902E-003,1.0689286798093647,0.46446222962662076,1.0454116465183854,-0.54181870891951267,1.0531075919183175,-2.2719021976029401,1.0531075919183175,-1.2310601259333063E-002,1.0531075919183175,800000099,800000099,800000099,800000099,800000099,800100099,899999999,899999999,89999,89999,89,89,0,4,0,3,1,18,0,0,0,0,87,1.8743327091003476E-002,1.1229552222513517E-002,1.0568391577833660E-003,3.0697177409480633E-003,3.6119034934794417E-002,3.5265442713585449,3.9164464012624847E-004,-2.2719021976029402E-003,-1.2310601259333063E-002,428.71371171485038,33.036083447986172,25.675665800677407,84.794648824267924
2014-12-01T233000_AIU-0923.ghg,2014-12-02,00:00,336.000,0,18000,18000,4.5454367772332326E-002,1,9.6169263122897615,1,-16.073785596164669,1,-34.117133440450175,1,-0.36519417344130234,1,-0.93907839753474909,-1.4578994274463692,2.6856740119914653,-3.3123272248564983E-002,2.7135626922870583E-011,1.8920928788581827E-012,17.521839183754441,432.63749666539638,447.42138799514862,0.0000000000000000,1,1221.7498139369657,30.166626660012742,31.104958325080709,0.0000000000000000,1,300.00167196316187,297.45657293362086,100158.80244444445,1.1596867884964501,1022.5281921773030,2.4691329039620499E-002,-2.3664582438996391E-002,2.2015932024361893E-002,3022.2636728917309,3030.3235253829776,1.8984377715388009E-002,99.734026666666622,8.0598524912465628,297.38323079712694,0.29710734750807760,-0.18492382351111891,-7.1887471626178354E-002,0.35726377513264662,7.0473676758815903E-014,1.5486745790949655E-015,0.35726377513264662,1.1818697319071907,265.89871945689907,328.10128054310093,-11.608122881184158,-9999.0,0.19797823856632576,0.11968790684687713,-70.730331997059054,-0.28177444439011934,-0.59829878000764392,4.0964044761516466E-002,1,7.5622295817394827,3.0000000000000000,6.0000000000000000,11.000000000000000,18.000000000000000,31.000000000000000,86.000000000000000,4.0709424653973474E-002,1.1165563787425259,7.9965062222373673,1.0775215139598964,-15.705470598224410,1.0859232096509321,-31.712030738443115,1.0859232096509321,-0.35682610790788361,1.0859232096509321,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,3,9,0,11,1,4,0,0,0,0,87,0.10968178801816156,0.12279134503849171,6.9026806371010061E-003,1.3255620547596851E-002,0.20607314389177708,33.287277927291633,6.7434831883767437E-003,-3.1712030738443114E-002,-0.35682610790788361,432.60230504693072,33.040062102317805,25.673517499128966,84.964556589762367
2014-12-02T000000_AIU-0923.ghg,2014-12-02,00:30,336.020,0,18000,18000,1.8618961019399019E-003,1,0.33486942564872496,1,3.5815027712177122E-002,2,-3.0017836326814207,1,8.1366160563455241E-004,2,-1.3001953294665340,-3.8677182694872809,0.15168198301852762,-8.7868530567215719E-002,3.4149596474662052E-011,2.3698946855148416E-012,17.529289459334507,432.85746320429962,447.56503030364797,0.0000000000000000,1,1216.4878715726989,30.039201265363051,30.969500318518762,0.0000000000000000,1,299.96040660519071,297.39217356024847,100128.78766666667,1.1596468319543347,1022.4527337930969,2.4693383277654708E-002,5.2725272045118990E-005,2.1921111821333172E-002,3008.5956126827286,3018.6531612855001,1.8903265388471646E-002,99.666819999999987,10.057548602771355,297.30766785229338,0.19182697495161599,-0.61895765973380068,-4.5988000910972021E-002,0.64963148714483188,-2.9186290044588462E-015,1.9481449350177214E-015,0.64963148714483188,1.1562676300388368,306.78077803835583,287.21922196164417,-4.0594154394952184,-9999.0,4.0069585363004298E-002,2.5948522779714440E-002,-16.836617412949984,-1.1837294577158191,9.3499697484491744,7.0484181769447105E-003,1,177.50861291022636,79.000000000000000,139.00000000000000,226.00000000000000,336.00000000000000,529.00000000000000,1156.0000000000000,1.7305887864626250E-003,1.0758743593535429,0.32102859348361462,1.0500467794091319,-1.5232379640402203E-002,1.0578004577848186,-2.8538303986765303,1.0578004577848186,-3.4605592310154090E-004,1.0578004577848186,800000099,800000099,800000099,800000099,800000099,810000199,899999999,899999999,89999,89999,89,89,5,0,0,3,3,13,0,0,0,0,87,2.2087650296231661E-002,2.7940189758128439E-002,1.8692055050687770E-003,8.2786531373555197E-003,0.15802149792045514,5.0424934111797253,2.7075390539576735E-004,-2.8538303986765305E-003,-3.4605592310154090E-004,432.82620953199677,32.858991455396009,25.575926053471036,84.757591680738670
2014-12-02T003000_AIU-0923.ghg,2014-12-02,01:00,336.041,0,18000,18000,1.2760110115404887E-002,1,0.78300480766190284,2,1.2571271577848080,1,4.8064348334452625,1,2.8554632077768736E-002,1,-3.8912245583834317,-8.9958539950299077,20.393283463551352,-0.20433358667236429,-1.4697112200316771E-010,-9.4532875053526080E-012,18.735236036406636,462.41744941491044,478.11992045827998,0.0000000000000000,1,1205.0637589129753,29.743020514715656,30.654786457185967,0.0000000000000000,1,299.76210241953532,297.19951904127333,100111.29458333334,1.1603272534801177,1022.2770876496235,2.4681698619453355E-002,1.8503401586394139E-003,2.1715249307677733E-002,2978.4110015226115,2983.9744229024845,1.8714762790021659E-002,99.813556666666670,5.5634213798733132,297.13972519905025,-0.28298741013846873,-0.15786734949966899,-4.6462115056335886E-002,0.32735714818903117,5.7985961745527289E-014,-7.8446367965458710E-015,0.32735714818903117,0.59040365305182141,24.844601088721316,209.15539891127870,-8.1595981531305721,-9999.0,0.10486654618977281,3.3949439347110116E-002,-129.04841156377620,-0.15443816594480531,0.62285251162789346,6.2947479346895574E-003,1,24.007404647507983,11.000000000000000,20.000000000000000,35.000000000000000,56.000000000000000,98.000000000000000,266.00000000000000,1.1356686058236710E-002,1.1235768999839799,0.79566542469771040,1.0823123119726261,1.0101133444794124,1.0908605827152926,4.3558411683731562,1.0908605827152926,2.2943912021819064E-002,1.0908605827152926,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,11,2,4,6,0,3,0,0,0,0,87,2.3478664507086182E-002,4.1897450042727047E-002,2.5227641444069988E-003,3.0758473502793598E-003,9.7086590456989558E-002,4.2853458644778604,6.7078194795823292E-004,4.3558411683731557E-003,2.2943912021819064E-002,462.38434408738840,32.839837344911366,25.563117369704781,84.326983216603594
2014-12-02T010000_AIU-0923.ghg,2014-12-02,01:30,336.062,0,18000,18000,1.6425271092559725E-002,0,-1.5158938945205411,1,-4.6035133821472316,2,3.0831873614944270,1,-0.10454642475447372,2,-3.7212819081933595,-9.0680536407966130,-1.7835562388053894,-0.20593675067908257,1.8982634819147284E-011,1.2155207070181905E-012,18.638335130055719,459.83327328105673,475.32580136401299,0.0000000000000000,1,1193.4740625192619,29.444640892806614,30.337930357617644,0.0000000000000000,1,299.63103359137642,297.01534464687768,100091.13866666667,1.1609454539309669,1022.1003383631775,2.4671370595732069E-002,-6.7746083240898970E-003,2.1506402975084674E-002,2947.9381757469678,2951.1477456635607,1.8524903906780365E-002,99.891243333333307,3.2095699165928835,296.96866258040069,-0.22685087820461824,0.84213801465435922,-8.5777179548833182E-002,0.87636492467434302,-6.3721750689812905E-015,1.0184726632872030E-015,0.87636492467434302,1.5606970755757663,128.92380996453554,105.07619003546445,-5.6170112335235443,-9999.0,0.11894614340331890,4.7551672252079111E-002,97.252441363248153,0.20493058807191628,0.32929064579225309,-1.0740217862946485E-002,1,86.618302657316036,38.000000000000000,81.000000000000000,170.00000000000000,325.00000000000000,726.00000000000000,3326.0000000000000,1.6173383387715966E-002,1.0155742121982387,-1.7819281637974649,1.0097539958902093,-4.1278073162701308,1.0276407283312943,3.1250577577866108,1.0276407283312943,-9.3743074292989947E-002,1.0276407283312943,800000099,800000099,800000099,800000099,800000099,800001199,899999999,899999999,89999,89999,89,89,12,0,0,1,0,6,0,0,0,0,87,7.9335759710236042E-002,7.9709032557632332E-003,7.7966815381589408E-003,6.7835926387577071E-003,0.18058927037500391,27.026488240191611,-1.5017057535778348E-003,3.1250577577866109E-003,-9.3743074292989947E-002,459.80063469780890,32.591264358308607,25.431698426299615,84.084528139114397
2014-12-02T013000_AIU-0923.ghg,2014-12-02,02:00,336.083,0,18000,18000,1.0541420254526956E-002,1,-1.7597817940969938,1,-2.3337071141770505,1,8.1631376929424615,1,-5.2994114412737950E-002,1,-1.8464328869885560,-4.4828906011660337,5.8248482907839305,-0.10179804311123036,8.1528938973163844E-012,5.1008146554301675E-013,18.983004199443080,468.27166299393213,483.92354339005391,-0.29999999999999999,0,1187.6615499250390,29.297167256258899,30.181396682905479,-0.20000000000000001,0,299.55063447994655,296.92397067599825,100074.25044444445,1.1611722501018378,1022.0129668346025,2.4667942864790085E-002,-3.4340186139454189E-003,2.1401661496342154E-002,2932.6785023223038,2934.9788409051775,1.8431082463833574E-002,99.921623333333329,2.3003385828735068,296.88241892248408,-0.21705211068111036,0.64877403165813186,-0.10504144029963819,0.69213659568419883,1.5479271528142906E-014,4.2948385891183504E-016,0.69213659568419883,1.4080195050748274,125.50195728325491,108.49804271674509,-8.7291686386814611,-9999.0,9.5279888362935300E-002,4.1064781593788589E-002,43.052478395401458,0.46292340749722716,0.75407140142243445,-1.5563401677484377E-002,1,84.552205612263222,37.000000000000000,80.000000000000000,168.00000000000000,325.00000000000000,734.00000000000000,3460.0000000000000,1.0394031612716374E-002,1.0141801225263027,-1.8831646877133215,1.0103082511438648,-1.9351479789931476,1.0356437766962918,7.9976937435626470,1.0356437766962918,-4.3943583486270005E-002,1.0356437766962918,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,12,12,1,4,8,13,0,0,0,0,87,4.6018793942328967E-002,3.0801331497981626E-002,5.3094377472665830E-003,5.9839203117920698E-003,0.17634544595005913,5.1737500471018620,-1.5868477027673215E-003,7.9976937435626474E-003,-4.3943583486270005E-002,468.24021112060518,32.341402707735696,25.299584105809529,83.782241472456192
2014-12-02T020000_AIU-0923.ghg,2014-12-02,02:30,336.104,0,18000,18000,5.7809295981936237E-003,2,-0.67080725075290781,2,-4.2226528527742380,2,0.33556317700377808,1,-9.5866472523640070E-002,2,-4.7962564440122888,-12.095310024897637,15.167987259662596,-0.27459863422231257,-7.8069117758891013E-012,-4.6021955366646007E-013,19.882039186550038,490.23579655153185,506.34442150632356,-0.29999999999999999,0,1172.0515695684360,28.899532357604091,29.759570014177189,0.0000000000000000,1,299.21797142961287,296.68670413208008,100037.77178906251,1.1618538830845795,1021.7776618421934,2.4657219108750700E-002,-6.2121474195318766E-003,2.1120369645496552E-002,2891.8203149701167,2893.3543714578632,1.8178163324138973E-002,99.946980000000025,1.5340564877461811,296.64955202492740,0.45187437344072107,1.4381576254466681,-0.10476501599194750,1.5111133357821813,3.8627380547077657E-014,-3.9266152242423822E-016,1.5111133357821813,2.3717814359862697,161.44290900745958,72.557090992540438,-3.9754876280299283,-9999.0,7.0537990512884827E-002,9.9898426390687772E-002,45.811839714847856,0.43504037655009481,0.15885919921458724,-8.0106313743069368E-003,1,474.06205918343392,209.00000000000000,467.00000000000000,1034.0000000000000,2104.0000000000000,5139.0000000000000,-9999.0,5.7390229221773682E-003,1.0073020576123359,-0.92025939121337164,1.0073776381512205,-3.8538094908858116,1.0385240104207756,0.40483946355508099,1.0385240104207756,-8.7492657945258873E-002,1.0385240104207756,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,1,0,1,20,21,1,0,0,0,0,86,0.12254614490201468,7.1178095885263498E-002,6.0726119940973716E-003,7.5464061755812478E-003,0.11268861529994124,51.014263899470322,-7.7517960950771272E-004,4.0483946355508098E-004,-8.7492657945258873E-002,490.19912784830717,31.811301116784460,25.015696087572287,83.451539308971803
2014-12-02T023000_AIU-0923.ghg,2014-12-02,03:00,336.124,0,18000,18000,2.1687941751017950E-003,2,-0.44260422782637943,2,-1.7547070297950087,1,5.0026680859817185,1,-3.9835016854376626E-002,1,-1.0069307103343141,-2.2125964451458566,-8.6282096631576906,-5.0229933081544498E-002,-6.8247277552881287E-011,-4.1180407647671871E-012,19.371398144095735,477.73917538940776,493.32079141251523,-0.10000000000000001,0,1168.8701745811079,28.826782103585671,29.682431076533604,-0.40000000000000002,0,299.11855880398218,296.63688159857855,100001.21551605903,1.1616566925120853,1021.7343778906817,2.4662090564434518E-002,-2.5813090921636053E-003,2.1063040906842641E-002,2883.4865070883684,2884.6796105753024,1.8131898212796215E-002,99.958639999999988,1.1931034869342199,296.60170135843310,0.32936716084498752,1.3370666252292649,-8.8531667831225902E-002,1.3798796118335102,2.7517045566178625E-014,-3.5230950830300586E-015,1.3798796118335102,2.4651006119418279,157.83847142869033,76.161528571309660,-3.6785654227613587,-9999.0,4.3208607430864167E-002,0.15164548128289315,15.954449696195057,1.2491812866947747,0.25223824850014198,-8.6303713570662390E-003,1,1173.3890353104175,518.00000000000000,1171.0000000000000,2629.0000000000000,5432.0000000000000,-9999.0,-9999.0,2.1528766193064210E-003,1.0073936219347777,-0.54091102251725964,1.0107804953651325,-1.5373477262357804,1.0663746686713611,4.7319714406545659,1.0663746686713611,-3.4900568326094984E-002,1.0663746686713611,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,6,6,0,9,5,6,0,0,0,0,86,0.22565671878849744,6.5749216261298538E-002,1.1885027515990330E-002,5.1830699439774858E-003,0.10080980957221143,4.9964079728833655,-4.5573252687893982E-004,4.7319714406545655E-003,-3.4900568326094984E-002,477.70539612070809,31.582904384719001,24.889018426259362,83.250733782026458
2014-12-02T030000_AIU-0923.ghg,2014-12-02,03:30,336.145,0,18000,18000,1.2193645469536059E-002,1,-2.4771113734695622,1,-5.1900371200782871,1,2.4281133860248598,2,-0.11781263029750916,1,-1.8719236069849330,-4.4528572669984543,7.1338977820069616,-0.10107881982866294,-1.3467457383759190E-010,-7.9138271813507179E-012,19.789400147652572,488.07202708093712,503.96617191363254,-0.10000000000000001,0,1162.8764682781130,28.680377923660547,29.527230040253894,-0.29999999999999999,0,298.94234768507215,296.54425231085884,99965.062896267365,1.1616644695635820,1021.6475942167002,2.4663305781849706E-002,-7.6342584432785932E-003,2.0955034317412097E-002,2867.8048350261734,2868.6119668132346,1.8038801105180184E-002,99.971863333333360,0.80713178706152733,296.51133218721480,-0.11788347313584856,1.0235140396959082,-7.1356146211182678E-002,1.0327483731748368,8.5329097135151335E-015,-6.8053893919350088E-015,1.0327483731748368,2.1310309630108839,137.42989444894513,96.570105551054851,-3.9619195517045522,-9999.0,0.10245341257908684,9.7150647828211048E-002,37.992303406936557,0.52457993363890698,0.47728201478300741,-2.0372169534379564E-002,1,152.46546598620984,67.000000000000000,146.00000000000000,313.00000000000000,614.00000000000000,1422.0000000000000,7086.0000000000000,1.2077551473763413E-002,1.0096123784713187,-2.7694695097469442,1.0083985661592816,-4.5125166592397088,1.0372459138276409,2.5306545381009884,1.0372459138276409,-0.10243307409684571,1.0372459138276409,800000099,800000099,800000099,800000099,800000099,800000099,899999999,899999999,89999,89999,89,89,5,1,2,10,7,8,0,0,0,0,87,0.10085249004790098,7.1852557189460375E-002,2.1596248419060750E-002,3.6225593200638279E-003,4.7348033913921256E-002,6.9305577249033625,-2.3335373968529191E-003,2.5306545381009885E-003,-0.10243307409684571,488.03696721394897,31.535859585709048,24.857912689685815,83.492579798804385
