file_info,,,,,,,corrected_fluxes_and_quality_flags,,,,,,,,,,,,storage_fluxes,,,,,vertical_advection_fluxes,,,gas_densities_concentrations_and_timelags,,,,,,,,,,,,,,,air_properties,,,,,,,,,,,,,,unrotated_wind,,,rotated_wind,,,,,,rotation_angles_for_tilt_correction,,,turbulence,,,,,,footprint,,,,,,,,uncorrected_fluxes,,,,,,,,,,,,statistical_flags,,,,,,,,,,,,spikes,,,,,,,diagnostic_flags_LI-7500,,,,diagnostic_flags_LI-7700,,,,,,,,,,,,,,,,RSSI_LI-7500,variances,,,,,,,covariances,,,,custom_variables,,,,,,,,,,,,,,,
filename,date,time,DOY,daytime,file_records,used_records,Tau,qc_Tau,H,qc_H,LE,qc_LE,co2_flux,qc_co2_flux,h2o_flux,qc_h2o_flux,ch4_flux,qc_ch4_flux,H_strg,LE_strg,co2_strg,h2o_strg,ch4_strg,co2_v-adv,h2o_v-adv,ch4_v-adv,co2_molar_density,co2_mole_fraction,co2_mixing_ratio,co2_time_lag,co2_def_timelag,h2o_molar_density,h2o_mole_fraction,h2o_mixing_ratio,h2o_time_lag,h2o_def_timelag,ch4_molar_density,ch4_mole_fraction,ch4_mixing_ratio,ch4_time_lag,ch4_def_timelag,sonic_temperature,air_temperature,air_pressure,air_density,air_heat_capacity,air_molar_volume,ET,water_vapor_density,e,es,specific_humidity,RH,VPD,Tdew,u_unrot,v_unrot,w_unrot,u_rot,v_rot,w_rot,wind_speed,max_wind_speed,wind_dir,yaw,pitch,roll,u*,TKE,L,(z-d)/L,bowen_ratio,T*,model,x_peak,x_offset,x_10%,x_30%,x_50%,x_70%,x_90%,un_Tau,Tau_scf,un_H,H_scf,un_LE,LE_scf,un_co2_flux,co2_scf,un_h2o_flux,h2o_scf,un_ch4_flux,ch4_scf,spikes_hf,amplitude_resolution_hf,drop_out_hf,absolute_limits_hf,skewness_kurtosis_hf,skewness_kurtosis_sf,discontinuities_hf,discontinuities_sf,timelag_hf,timelag_sf,attack_angle_hf,non_steady_wind_hf,u_spikes,v_spikes,w_spikes,ts_spikes,co2_spikes,h2o_spikes,ch4_spikes,chopper_LI-7500,detector_LI-7500,pll_LI-7500,sync_LI-7500,not_ready_LI-7700,no_signal_LI-7700,re_unlocked_LI-7700,bad_temp_LI-7700,laser_temp_unregulated_LI-7700,block_temp_unregulated_LI-7700,motor_spinning_LI-7700,pump_on_LI-7700,top_heater_on_LI-7700,bottom_heater_on_LI-7700,calibrating_LI-7700,motor_failure_LI-7700,bad_aux_tc1_LI-7700,bad_aux_tc2_LI-7700,bad_aux_tc3_LI-7700,box_connected_LI-7700,mean_value_RSSI_LI-7500,u_var,v_var,w_var,ts_var,co2_var,h2o_var,ch4_var,w/ts_cov,w/co2_cov,w/h2o_cov,w/ch4_cov,air_t_mean,air_p_mean,co2_mean,h2o_mean,dew point_mean,co2_signal_strength_7500_mean,ch4_mean,rssi_77_mean,ch4_aux-1_mean,ch4_aux-2_mean,ch4_aux-3_mean,ch4_aux-4_mean,ch4_tc_1_mean,ch4_tc_2_mean,ch4_tc_3_mean
,[yyyy-mm-dd],[HH:MM],[ddd.ddd],[1=daytime],[#],[#],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],[W+1m-2],[W+1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1s-1m-2],[µmol+1s-1m-2],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[mmol+1mol_a-1],[mmol+1mol_d-1],[s],[1=default],[mmol+1m-3],[µmol+1mol_a-1],[µmol+1mol_d-1],[s],[1=default],[K],[K],[Pa],[kg+1m-3],[J+1kg-1K-1],[m+3mol-1],[mm+1hour-1],[kg+1m-3],[Pa],[Pa],[kg+1kg-1],[%],[Pa],[K],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[m+1s-1],[deg_from_north],[deg],[deg],[deg],[m+1s-1],[m+2s-2],[m],[#],[#],[K],[0=KJ/1=KM/2=HS],[m],[m],[m],[m],[m],[m],[m],[kg+1m-1s-2],[#],[W+1m-2],[#],[W+1m-2],[#],[µmol+1s-1m-2],[#],[mmol+1s-1m-2],[#],[µmol+1s-1m-2],[#],8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8u/v/w/ts/co2/h2o/ch4/none,8co2/h2o/ch4/none,8co2/h2o/ch4/none,8aa,8U,[#],[#],[#],[#],[#],[#],[#],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#_flagged_recs],[#],[m+2s-2],[m+2s-2],[m+2s-2],[K+2],--,--,--,[m+1K+1s-1],--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2015-09-01T000000_AIU-0305.ghg,2015-09-01,00:30,244.020,0,18000,18000,8.2778179305325467E-003,1,-0.33805155881585713,2,8.5822949501586425,2,1.3891925817364499,2,0.19473745393776221,2,-2.5546974819251719E-003,2,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-1.9244606081118464E-011,-8.2508593894230486E-013,-5.3780679586989124E-014,22.278462199311594,544.71004496253192,557.73522141996750,0.50000000000000000,0,955.15833498636835,23.353691782767601,23.912128255926518,0.0000000000000000,1,6.2259047141919530E-002,1.5277980304782917,1.5643309329322406,0.0000000000000000,1,301.94786074320473,296.12771746656631,100695.23155555555,1.1741815635002817,1018.5646778591109,2.4450073801743976E-002,1.2618987015166991E-002,1.7211953491361461E-002,2352.2361949980868,2797.3209104637335,1.4658681439395069E-002,84.088893276393463,445.08471546564647,293.26858154975207,8.8476976590893305E-002,0.21102223466029957,4.6428946807328064E-002,0.23348277454520489,-1.4035837863110886E-014,-8.6382111606038614E-016,0.23348277454520489,0.92289787533495138,152.74723123486703,67.252768765132984,11.469942850336457,-9999.0,8.3963456057283295E-002,5.6289438384638318E-002,153.87834021378896,1.1199107019257906E-002,-3.9389412829444678E-002,-3.3664236404271786E-003,1,1.5967295310622209,1.0000000000000000,1.0000000000000000,3.0000000000000000,5.0000000000000000,9.0000000000000000,29.000000000000000,8.0415204478423031E-003,1.0293846772165638,0.14874386838950279,1.0314126549652327,7.4123581089701549,1.1362118202385727,1.1479920714169456,1.1362118202385727,0.16819088066754118,1.1362118202385727,-2.4342862936537163E-003,1.1875273719371537,800000009,800000009,800000009,800000009,800000009,810110019,899999999,899999999,89999,89999,89,89,0,13,6,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,80,3.1268242454028712E-002,7.6497160064881956E-002,4.8134742503659692E-003,1.5925745696035460E-002,0.20676143541661621,516.81416027288037,1.0867514517878572E-005,1.2436987663523127E-004,1.1479920714169455E-003,0.16819088066754118,-2.4342862936537162E-006,296.65954801771375,101059.04966666667,543.68148916626103,23.309813590791510,20.060123034742151,78.731546872668815,1.5124385754432921,57.148444875399228,6.7872405273835404E-003,1.6074354875279039E-002,2.8461333706896023E-002,1.3479699116945265,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T003000_AIU-0305.ghg,2015-09-01,01:00,244.041,0,18000,18000,1.2890944001564821E-002,1,-2.6031542465149569,0,-11.426986151314459,2,7.3903038043548053,0,-0.25927623661531873,2,4.3176737984093869E-002,0,-4.1068808125658975E-002,-0.47187192120646060,-6.5726079325801323E-002,-1.0706688034340342E-002,-1.5461006295027018E-003,1.2343402660554452E-011,5.2450812344280956E-013,3.3709467032819375E-014,22.206111163586549,542.98810203152414,555.81246852470429,0.20000000000000001,0,943.60412729596726,23.073189644737276,23.618135360976154,0.50000000000000000,0,6.0644231803940733E-002,1.4877686245738675,1.5229069453348665,-0.50000000000000000,0,301.94656090037029,296.09198403591580,100674.35744444444,1.1742054704226628,1018.4030432270312,2.4452192373147844E-002,-1.6801100132672653E-002,1.7003746665213048E-002,2323.5016292568489,2791.2777412212254,1.4481065787483037E-002,83.241506029431619,467.77611196437647,293.07008568420093,0.34764330522582371,0.36312023988139824,4.4035815273018107E-002,0.50462989339374686,-2.1388384814961203E-014,5.5585611409507363E-016,0.50462989339374686,1.2877208846959955,173.75257682053964,46.247423179460370,5.0062027288851754,-9999.0,0.10477804990470144,9.3314218155710754E-002,38.825209626154574,4.4386109349918365E-002,0.22780759616266036,-2.0776184982516325E-002,1,4.0180694380473332,2.0000000000000000,4.0000000000000000,7.0000000000000000,13.000000000000000,26.000000000000000,100.00000000000000,1.2712722019452548E-002,1.0140191834478536,-3.1559408208036315,1.0255661085420387,-9.2694254374427114,1.1713269940328923,6.5689385375815785,1.1713269940328923,-0.21032157658911591,1.1713269940328923,3.5474467978777902E-002,1.2451477131812467,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,4,5,0,2,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2514,0,0,0,18000,18000,18000,18000,80,3.0859184629431196E-002,0.14756607041014694,8.2031812718433503E-003,1.6426496554037485E-002,0.31644634647761372,1776.8004435419657,2.5546086792745834E-006,-2.6391560063754732E-003,6.5689385375815789E-003,-0.21032157658911591,3.5474467978777901E-005,296.66134417894153,101037.51030555555,542.03835479227541,23.032945995012899,19.853059555954374,79.247489107767763,1.4729962147672946,56.750395830684198,2.6581397724008093E-002,2.7630696372349769E-002,2.6935658020424264E-002,1.3478818760812268,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T010000_AIU-0305.ghg,2015-09-01,01:30,244.062,0,18000,18000,4.0639813967989959E-003,0,-1.0797752623593586,0,0.32874619417071432,2,2.8537644629692607,1,7.4587875211368703E-003,2,7.3095527696809418E-003,2,-6.4220153248441464E-002,0.19362748889687306,-0.17004175706471830,4.3931346538512136E-003,5.6795916414827327E-003,1.8751019794081032E-011,8.0738434952786771E-013,5.6738895354904290E-014,22.026584887374739,538.53374970294510,551.31785737193138,0.20000000000000001,0,948.42414476182819,23.188270610218570,23.738730722146819,0.0000000000000000,1,6.6650460010989565E-002,1.6347987925810170,1.6736068409029885,-0.29999999999999999,0,301.86410315195718,296.03611472744410,100667.42447222222,1.1742946425693150,1018.4679438114673,2.4449262219111572E-002,4.8332943136966916E-004,1.7090603381436052E-002,2334.9296324935840,2781.8520809888419,1.4553931153123902E-002,83.934356123766506,446.92244849525798,293.14928557012115,0.26848352618764598,0.18267447540339607,3.6369368431375795E-002,0.32676612241504843,-7.5202918587212346E-015,8.5129037887433908E-016,0.32676612241504843,0.94940562401038564,185.76887936327884,34.231120636721151,6.3903130472853205,-9999.0,5.8828437813350766E-002,6.9513558583926521E-002,16.566036256987349,0.10402609129103731,-3.2845255139247120,-1.5346933596410489E-002,1,4.8025807108739373,2.0000000000000000,4.0000000000000000,9.0000000000000000,17.000000000000000,35.000000000000000,147.00000000000000,3.9941778329413103E-003,1.0174763284904325,-1.0311828563391465,1.0307885708616353,0.37430226948571521,1.1985147097452837,2.4337811215890119,1.1985147097452837,8.4923906231549866E-003,1.1985147097452837,5.8689074099996918E-003,1.2840736946286875,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,0,3,2,1,8,1,0,0,0,0,0,1,0,0,0,0,0,0,202,0,0,0,18000,18000,18000,18000,80,2.0015302165894231E-002,0.11538062560111439,3.6311894008444301E-003,6.9564087476385941E-003,0.14301031613175713,720.46368583517403,1.7159512855426448E-005,-8.6220639651154031E-004,2.4337811215890117E-003,8.4923906231549866E-003,5.8689074099996919E-006,296.51853664652509,101030.63772222222,537.43483098856609,23.140941132545461,19.936256121529478,79.880487550523554,1.6184886499014079,56.058159169091098,2.0486762143310831E-002,1.3936788832431483E-002,2.2228211071527122E-002,1.3406114113463292,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T013000_AIU-0305.ghg,2015-09-01,02:00,244.083,0,18000,18000,1.3191696135525356E-002,1,-3.0563746443803841,1,19.686719159306222,1,-9.2841731540151908,2,0.44661292951293780,1,6.8409039784679937E-002,1,-0.13541265345346484,-0.95884775676676071,0.12210516387688593,-2.1752421119091293E-002,2.4606474910293086E-003,1.2021442857920490E-011,5.0192675661917278E-013,3.7582681289970804E-014,22.166646953688730,541.73103185780292,554.26784489917566,0.0000000000000000,1,925.51562587653223,22.618690867144426,23.142135680098075,0.0000000000000000,0,6.9299670395130505E-002,1.6984719952786782,1.7377782646422646,0.0000000000000000,1,301.70205111948650,295.91834735446508,100669.56766666667,1.1750422479112210,1018.1392524892010,2.4439015652191545E-002,2.8940517832438367E-002,1.6677791864049968E-002,2277.6246156373459,2762.0746713027547,1.4193355084633551E-002,82.460645952163404,484.45005566540902,292.74866695962191,-0.23509946644540067,1.8905538919022476E-002,5.3074295676898114E-002,0.24175619823767824,3.0306140360804430E-014,5.4232121272270340E-016,0.24175619823767824,1.0116035515142685,44.597550728619623,175.40244927138033,12.681807491165454,-9999.0,0.10595551791006215,4.0343717850714479E-002,34.191248014687439,5.0401787008761037E-002,-0.15525058389099780,-2.4111395486183858E-002,1,0.96923093559419538,1.0000000000000000,1.0000000000000000,2.0000000000000000,3.0000000000000000,6.0000000000000000,23.000000000000000,1.2956690218862974E-002,1.0181378046933813,-1.9096384287103707,1.0263505926448144,16.896429323025426,1.1596270248876590,-8.0498233324087742,1.1596270248876590,0.38331241164160662,1.1596270248876590,5.5257593758946989E-002,1.2291361046321141,800000009,800000009,800000009,800000009,800000009,800100009,899999999,899999999,89999,89999,89,89,10,4,4,1,5,22,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,18000,18000,18000,18000,80,4.3341129912349417E-002,3.1474422288531478E-002,5.8718835005480566E-003,8.7640224254816150E-003,0.21715761702711278,758.16234882219862,1.1389696290106199E-005,-1.5962116741413000E-003,-8.0498233324087735E-003,0.38331241164160662,5.5257593758946988E-005,296.47248582628038,101032.28763888888,540.75858953857517,22.578220965014555,19.539445472505363,80.955396707534931,1.6819136418567666,55.916725024011413,-1.7867917945262692E-002,1.3923453258306970E-003,3.2497914940229897E-002,1.3263171091145940,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T020000_AIU-0305.ghg,2015-09-01,02:30,244.104,0,18000,18000,2.1063950378853957E-002,1,4.3153668831078722,2,2.2152312843670892,2,-14.228927737493418,2,5.0243939969778689E-002,2,0.12512174136764892,1,-0.25519255235247712,-0.92882858915388444,0.96259345043264732,-2.1066878300698727E-002,9.8160407830389946E-003,1.5659800535566901E-011,6.0955525626310228E-013,5.3810036369489239E-014,23.210159469180585,566.92239172817938,579.71517776418671,0.0000000000000000,1,903.45178222486697,22.067364331128836,22.565321501961677,0.0000000000000000,1,7.9754497660530999E-002,1.9523385119888714,1.9963936581925619,0.0000000000000000,1,301.36357407972548,295.69650693257648,100649.29288888889,1.1759341829799754,1017.8193430258788,2.4425613812820306E-002,3.2558073100416589E-003,1.6280201394634704E-002,2221.6603929209059,2725.1529905608304,1.3844483501090585E-002,81.524244716392715,503.49259763992450,292.34880254382148,0.20022012965012620,-3.5689751116561481E-002,5.1947076962796566E-002,0.20990559177124882,-4.3523529706912039E-015,6.7469594753800095E-016,0.20990559177124882,0.79295107210618954,230.10696555883601,349.89303444116399,14.328340418282561,-9999.0,0.13383768131084017,4.4662625328702396E-002,-48.793353168920696,-3.5318335143600443E-002,1.9480434903395696,2.6939256493001152E-002,1,0.51833175372823870,1.0000000000000000,1.0000000000000000,1.0000000000000000,2.0000000000000000,5.0000000000000000,-9999.0,2.0416239722280242E-002,1.0317252670121653,4.3023381090049373,1.0329876823119466,1.4764848945629367,1.1382770488027028,-12.774063852764970,1.1382770488027028,3.3488339990602987E-002,1.1382770488027028,0.10372792152771314,1.1899297871851733,800000009,800000009,800000009,800000009,800000009,800000009,899999999,899999999,89999,89999,89,89,0,3,1,3,2,3,1,0,0,0,0,0,2,0,0,0,0,0,0,101,0,0,0,18000,18000,18000,18000,81,7.2181420711834546E-002,1.2377177455900548E-002,4.7666524896697003E-003,1.6154992811079391E-002,0.51939512508319341,375.18900750696076,4.3798880712539725E-005,3.5946020887419224E-003,-1.2774063852764970E-002,3.3488339990602987E-002,1.0372792152771314E-004,296.16336325073246,101012.55125000000,565.73467471313222,22.021080686410276,19.137609377119297,82.526382252375313,1.9337346045109931,55.303460963380026,1.5335827294148363E-002,-2.7385654516692433E-003,3.1768778287041395E-002,1.2964757394989352,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T023000_AIU-0305.ghg,2015-09-01,03:00,244.124,0,18000,18000,2.9309694348393883E-003,1,-0.55132830019125900,1,-17.232961943961502,1,7.2485510762753087,1,-0.39072268600253846,1,-2.3721716631217551E-002,1,-0.42672545845079263,-2.2429604992218564,1.3658107646265027,-5.0854609538590875E-002,-3.4665014055218382E-004,-4.6560175038039112E-012,-1.6022297317357165E-013,-1.5000525206827294E-014,24.695969479561025,602.63154358014060,615.39343067869879,0.0000000000000000,1,849.83822594875164,20.737769469660353,21.176931799390839,0.0000000000000000,1,7.9564243988029984E-002,1.9433819621923305,1.9845368294658439,0.0000000000000000,1,300.88321471405033,295.32581886800131,100620.31127777777,1.1776679277657867,1017.0528122717446,2.4402020098012060E-002,-2.5318830052964491E-002,1.5314085093985809E-002,2087.2005385548750,2664.4197493459710,1.3003737923846610E-002,78.336025660642065,577.21921079109643,291.35073884386526,0.30197488479149809,-8.5819769860250125E-002,4.7962351638127058E-002,0.31757558331580382,-1.5863725395546832E-014,-1.8853349764856740E-016,0.31757558331580382,0.65272099402022110,235.86488776211647,344.13511223788356,8.6864225728763920,-9999.0,4.9887784886291218E-002,3.2759770189535464E-002,19.770569727878843,8.7164913491083823E-002,3.1992660459883776E-002,-9.2267703664957092E-003,1,6.0888697476868980,3.0000000000000000,6.0000000000000000,11.000000000000000,21.000000000000000,44.000000000000000,182.00000000000000,2.8691690683146443E-003,1.0215394649298397,-1.3867705003729662,1.0407601426945499,-13.296502843337175,1.2647762058331833,5.9477312730670846,1.2647762058331833,-0.30147140823980784,1.2647762058331833,-1.6301866662534983E-002,1.3772041263168464,800000009,800000009,800000009,800000009,800000009,800000019,899999999,899999999,89999,89999,89,89,0,0,0,18,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,84,1.4227510489240994E-002,5.0788927215916983E-002,5.0310267391294320E-004,2.1068903566083718E-002,0.76615197665216439,840.77789145304428,7.9110517716168119E-005,-1.1578125210643347E-003,5.9477312730670849E-003,-0.30147140823980784,-1.6301866662534983E-005,295.84593699815537,100982.95297222222,601.48649216376452,20.698200717184196,18.138297832594965,83.715118589613354,1.9259826861620220,54.680843907462091,2.3083412915804905E-002,-6.5499900327266811E-003,2.9338410276386527E-002,1.2541100057694665,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T030000_AIU-0305.ghg,2015-09-01,03:30,244.145,0,18000,18000,8.6202883858919350E-003,1,-1.9841736344686118,2,-6.4149283350486108,1,23.793226959254749,2,-0.14543064835753364,1,8.5399741252136979E-002,2,-0.12200652241231566,-1.3072752579646991,1.0721160879739022,-2.9636790688500739E-002,1.7328379447187261E-002,-2.5702326403560527E-012,-8.1358819336079810E-014,-9.7417768626911959E-015,25.848039105164421,630.65821294917157,643.50450679057701,0.50000000000000000,0,818.20062150392573,19.963020780499740,20.369660741167397,-0.20000000000000001,0,9.7970053506808430E-002,2.3910416493219127,2.4397463565366011,0.0000000000000000,1,300.77481060197618,295.21983375549314,100597.94236111111,1.1781765922076477,1016.6095737334134,2.4398686893937978E-002,-9.4239060135681788E-003,1.4743975452121869E-002,2008.7775026332311,2647.2741320579244,1.2514232203930359E-002,75.880978033493562,638.49662942469331,290.74227326331595,0.12634641570423175,9.6386290606081365E-002,4.8530250666815246E-002,0.16615931814943899,-2.0797777581231610E-014,-9.9436271738018298E-017,0.16615931814943899,0.66766107580556089,182.66096167991162,37.339038320088378,16.981960172943197,-9999.0,8.5537332495973548E-002,3.6459539045161519E-002,27.682429575678938,6.2252483846795242E-002,0.30930565874413252,-1.9366867738142540E-002,1,0.67132605074915830,1.0000000000000000,1.0000000000000000,1.0000000000000000,3.0000000000000000,6.0000000000000000,47.000000000000000,8.4329970533973987E-003,1.0222093439981794,-2.2647913521011085,1.0315444965480824,-5.1303751319048398,1.1859413816730273,20.262387947438224,1.1859413816730273,-0.11630898160994561,1.1859413816730273,6.8399246965037533E-002,1.2660098758586973,800000009,800000009,800000009,800000009,800010009,800110019,899999999,899999999,89999,89999,89,89,8,0,0,6,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,18000,18000,18000,87,1.8286057774183878E-002,5.2043788358613993E-002,2.5892319575251698E-003,1.1426937119175268E-002,0.94178842026738496,37.733538645081836,6.9802007925281911E-005,-1.8908784520477999E-003,2.0262387947438225E-002,-0.11630898160994561,6.8399246965037539E-005,295.78335739644365,100960.91833333333,629.53873581780715,19.927844767305597,17.540084425449400,84.865962140401166,2.3704574057062464,54.700016694068957,9.6776743184991236E-003,7.2952273617305488E-003,2.9647050510773553E-002,1.2445446011589629,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T033000_AIU-0305.ghg,2015-09-01,04:00,244.166,0,18000,18000,7.6017401895606858E-003,1,-3.1966069583233931,0,-4.9314618989369592,0,18.789534068925210,1,-0.11181132190458698,0,0.13340909163608639,1,0.12578721879298288,0.13886753331212667,-0.62808466610008051,3.1485516440074679E-003,-2.5624110821511992E-003,8.0139061696834217E-011,2.6153268373838063E-012,3.0320824447014864E-013,25.163425803780477,614.23175549849975,626.79611276665287,0.59999999999999998,0,821.20480863757120,20.045365649596242,20.455401655285804,0.50000000000000000,0,9.5206482347927474E-002,2.3248146791987123,2.3723696972358264,0.0000000000000000,0,300.94928509945339,295.32915058729384,100589.77519444445,1.1776079236008594,1016.6586521949852,2.4409703205285325E-002,-7.2453736594172355E-003,1.4798110905197708E-002,2016.8996912930531,2664.9603037763609,1.2566246038790587E-002,75.682166388558258,648.06061248330775,290.80624943126401,0.48620006555712647,0.30736769926521479,5.3051493679721388E-002,0.57765029843409033,8.9424375804229800E-015,3.1847436959396192E-015,0.57765029843409033,1.6513374324982653,187.69959781521325,32.300402184786734,5.2694787945731374,-9999.0,8.0344499846553522E-002,4.6920215821855675E-002,14.238956035224490,0.12102713118411779,0.64820676380212194,-3.3232055822532108E-002,1,7.2830978344902730,3.0000000000000000,7.0000000000000000,14.000000000000000,26.000000000000000,57.000000000000000,244.00000000000000,7.4815830197007939E-003,1.0160603938422510,-3.3571073132711033,1.0314468005251638,-3.7087210538120217,1.2147416074046709,15.711755092940624,1.2147416074046709,-8.4088047743303876E-002,1.2147416074046709,0.10331639480549766,1.3053375594535286,800000009,800000009,800000009,800000009,800000009,801100009,899999999,899999999,89999,89999,89,89,8,9,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6910,0,0,0,18000,18000,18000,18000,87,5.4285392380990678E-002,3.1339614435216795E-002,8.2154248275038734E-003,4.5032085250799818E-002,3.4112786346483528,99.739199519424574,1.5710673924851926E-004,-2.8040731823429032E-003,1.5711755092940625E-002,-8.4088047743303876E-002,1.0331639480549766E-004,295.89732157728412,100951.42863888889,613.16724034118295,20.010602416356360,17.603631242646134,85.671478524737879,2.3045797076158849,52.994023518032236,3.7134796882367996E-002,2.3446560032028021E-002,3.2451410826610121E-002,1.2600033968786402,9999.9902343750000,9999.9902343750000,9999.9902343750000
2015-09-01T040000_AIU-0305.ghg,2015-09-01,04:30,244.187,0,18000,18000,1.4763657563802423E-002,0,-3.6317619690739629,0,0.83658333788147099,2,7.1917735525643138,0,1.8972333907188783E-002,2,5.2513724578634027E-002,1,0.27735934740631291,1.7548771106949834,-2.7277479998832161,3.9797726063371709E-002,-1.7862969355830056E-002,-2.2250451787326265E-011,-8.6435869169239289E-013,-7.6276646827276124E-014,22.218297676123740,542.82830871403075,554.52158232631143,-0.10000000000000001,0,863.10960759481168,21.087138868834419,21.541385046742104,0.0000000000000000,1,7.6166419502110672E-002,1.8627221533290101,1.9028477684689671,-0.69999999999999996,0,301.34133649105496,295.57036291673450,100581.75238888888,1.1760860278903200,1017.2568324754890,2.4431588622442740E-002,1.2294072371858331E-003,1.5553235395345377E-002,2121.5503110980490,2704.3512920738658,1.3224572885407876E-002,78.449509030726219,582.80098097581720,291.61095478170898,0.25302989604891080,0.60497021129984929,3.0146222263215040E-002,0.65644640266470833,-1.3360596909767140E-014,-1.0014471905845909E-015,0.65644640266470833,1.8273447096099764,152.69720900711212,67.302790992887893,2.6321402472693554,-9999.0,0.11204111868742288,8.5073528873467363E-002,33.991643946141224,5.0697753916536636E-002,-4.3411837226771528,-2.7093819553185676E-002,1,5.5162427834324701,2.0000000000000000,5.0000000000000000,10.000000000000000,18.000000000000000,37.000000000000000,143.00000000000000,1.4575762532076496E-002,1.0128909229491376,-3.5023685462556089,1.0245157618312923,1.0347700740953931,1.1691648861346244,6.3375692235942962,1.1691648861346244,2.3466883063460897E-002,1.1691648861346244,4.3055926763167593E-002,1.2411590004429900,800000009,800000009,800000009,800000009,800000009,800000109,899999999,899999999,89999,89999,89,89,11,15,1,1,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,5019,0,0,0,18000,18000,18000,18000,87,8.1148054975972633E-002,7.3807446795007933E-002,1.5191555975954158E-002,5.5316621236684380E-003,7.9460698416934164E-002,242.01652392233837,5.3991245201871423E-006,-2.9274678748761386E-003,6.3375692235942962E-003,2.3466883063460897E-002,4.3055926763167592E-005,296.13100532870823,100942.36197222222,541.87709981113119,21.050199992815706,18.406249013847727,87.083605613920341,1.8458108881877495,54.223796975021109,1.9332878019376096E-002,4.6072834269229306E-002,1.8493119567094464E-002,1.2945528341465529,9999.9902343750000,9999.9902343750000,9999.9902343750000
