ObsDateTime	Label	Port#	Obs#	#Msgs	Exp_Flux	Exp_R2	Lin_Flux	Lin_R2	CrvFitStatus	Cdry_Mean	
2014-07-06 00:29:24	Profile1 - 30.65 m	5	1237	1						382.444	
2014-07-06 00:32:00	Profile2 - 15 m	6	1238	1						452.228	
2014-07-06 00:34:31	Harvest path - under palm	1	1239	0	1.220000	0.1432	1.220	0.1432	Lin	503.3	
2014-07-06 00:37:25	Profile3 - 10 m	7	1240	1						461.555	
2014-07-06 00:40:02	Profile4 - 2 m	8	1241	1						488.973	
2014-07-06 00:42:32	Harvest path - open	2	1242	0	5.270000	0.9995	4.730	0.9992	Exp	515.1	
2014-07-06 00:45:23	Profile1 - 30.65 m	5	1243	1						389.417	
2014-07-06 00:48:00	Profile2 - 15 m	6	1244	1						412.861	
2014-07-06 00:50:30	Frond pile - north	3	1245	1						456.437	
2014-07-06 00:53:25	Profile3 - 10 m	7	1246	1						421.496	
2014-07-06 00:56:01	Profile4 - 2 m	8	1247	1						435.179	
2014-07-06 00:58:32	Frond pile - south	4	1248	0	2.770000	0.9412	2.770	0.9412	Lin	453.55	
2014-07-06 01:01:31	Profile1 - 30.65 m	5	1249	1						400.092	
2014-07-06 01:04:08	Profile2 - 15 m	6	1250	1						429.236	
2014-07-06 01:06:39	Harvest path - under palm	1	1251	0	7.050000	0.8668	3.200	0.9089	Exp	469.19	
2014-07-06 01:09:33	Profile3 - 10 m	7	1252	1						437.82	
2014-07-06 01:12:09	Profile4 - 2 m	8	1253	1						450.663	
2014-07-06 01:14:40	Harvest path - open	2	1254	0	4.220000	0.9772	4.220	0.9772	Lin	477.38	
2014-07-06 01:17:38	Profile1 - 30.65 m	5	1255	1						405.986	
2014-07-06 01:20:14	Profile2 - 15 m	6	1256	1						425.351	
2014-07-06 01:22:45	Frond pile - north	3	1257	0	2.510000	0.8702	2.510	0.8702	Lin	468.39	
2014-07-06 01:25:43	Profile3 - 10 m	7	1258	1						459.214	
2014-07-06 01:28:20	Profile4 - 2 m	8	1259	1						447.358	
2014-07-06 01:30:50	Frond pile - south	4	1260	0	1.800000	0.7389	1.800	0.7389	Lin	461.67	
2014-07-06 01:33:51	Profile1 - 30.65 m	5	1261	1						419.815	
2014-07-06 01:36:27	Profile2 - 15 m	6	1262	1						439.891	
2014-07-06 01:38:58	Harvest path - under palm	1	1263	0	3.680000	0.9925	3.680	0.9925	Lin	466	
